norad_id,sat_name,propulsion_class,behavior,net_da_km,max_da_km,max_di_deg,n_flagged,n_transitions,flag_rate,burn_freq_per_day,monotone_decay,triggers,mean_sma_km,sub_tags
64036,STARLINK-34085,Electric_EP,Stationkeeping,0.09,6.235,0.0057,11,59,0.186,0.524,False,da,6949.9,da_max=6.2km net=+0.1km
64037,STARLINK-34008,Electric_EP,Stationkeeping,0.01,4.764,0.0024,7,46,0.152,0.333,False,da,6950.2,da_max=4.8km net=+0.0km
64039,STARLINK-34089,Electric_EP,DragMakeup,0.01,1.593,0.0002,2,53,0.038,0.095,False,da,6950.1,da_max=1.6km net=+0.0km
64040,STARLINK-34117,Electric_EP,DragMakeup,1.35,5.81,0.0009,5,53,0.094,0.238,False,da,6949.8,da_max=5.8km net=+1.3km
64041,STARLINK-34111,Electric_EP,Stationkeeping,-0.01,5.932,0.004,11,54,0.204,0.524,False,da,6950.1,da_max=5.9km net=-0.0km
64043,STARLINK-34096,Electric_EP,DragMakeup,0.04,1.558,0.0015,2,48,0.042,0.095,False,da,6950.2,da_max=1.6km net=+0.0km
64044,STARLINK-34081,Electric_EP,DragMakeup,0.04,3.033,0.0004,5,55,0.091,0.238,False,da,6950.2,da_max=3.0km net=+0.0km
64047,STARLINK-33961,Electric_EP,Stationkeeping,0.03,5.533,0.0017,10,52,0.192,0.476,False,da,6950.5,da_max=5.5km net=+0.0km
64064,STARLINK-11741,Electric_EP,DragMakeup,0.46,1.096,0.0002,1,36,0.028,0.048,False,da,6734.4,da_max=1.1km net=+0.5km
64067,STARLINK-11726,Electric_EP,DragMakeup,-0.05,1.278,0.0019,2,36,0.056,0.095,False,da,6734.4,da_max=1.3km net=-0.0km
64097,STARLINK-34174,Electric_EP,OrbitLowering,-12.46,11.723,0.0035,1,33,0.03,0.048,False,da,6842.0,da_max=11.7km net=-12.5km
64098,STARLINK-34146,Electric_EP,DragMakeup,0.03,4.714,0.0004,4,42,0.095,0.19,False,da+de,6840.7,da_max=4.7km net=+0.0km; Δe
64102,STARLINK-34104,Electric_EP,OrbitLowering,-9.96,9.521,0.0003,1,45,0.022,0.048,False,da,6848.0,da_max=9.5km net=-10.0km
64106,STARLINK-33970,Electric_EP,OrbitLowering,-9.88,17.121,0.0046,6,49,0.122,0.286,False,da+de,6850.0,da_max=17.1km net=-9.9km; Δe
64107,STARLINK-33912,Electric_EP,DragMakeup,-4.46,2.0,0.0011,2,53,0.038,0.095,False,da,6849.5,da_max=2.0km net=-4.5km
64108,STARLINK-34156,Electric_EP,DragMakeup,-4.47,3.473,0.0002,1,44,0.023,0.048,False,da,6850.8,da_max=3.5km net=-4.5km
