label,n,n_gt_pos,precision,precision_ci_lo,precision_ci_hi,recall,recall_ci_lo,recall_ci_hi,f1,f1_ci_lo,f1_ci_hi
"E1 (表3「完整P1-P4含多窗口」, 30天, 14,019顆)",14019,10186,0.9749351771823682,0.9659895707009458,0.9834357687933026,0.11074023169055566,0.10435892401335166,0.11692519143923032,0.19888918275588469,0.18850860081574747,0.20874686172351284
"E2 (7.1節headline「未含P4折算」, 54天, 14,023顆)",14023,10186,0.9462068965517242,0.9379070045808252,0.9538580848315884,0.2693893579422737,0.2604555271941881,0.2780311211466719,0.4193794895307962,0.40823145944510314,0.430143759912378
