配置,TP,FP,FN,TN,Precision,Recall,F1
Baseline (無P改進),1245,68,8941,3765,94.8,12.2,21.7
+P1,1102,25,9084,3808,97.8,10.8,19.5
+P1+P2,1102,25,9084,3808,97.8,10.8,19.5
+P1+P2+P3,1102,25,9084,3808,97.8,10.8,19.5
Full (+P1~P4+spike),1128,29,9058,3804,97.5,11.1,19.9
