sat_name,inc_family,maneuver_class,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,u_deg,da_km,de,di_deg,draan_raw_deg,draan_j2_deg,draan_res_deg,du_deg,da_severity,dv_est_ms,flagged,flag_reason
STARLINK-37442,SSO,mixed,2026-05-04 21:23:42+00:00,2026-05-05 01:36:42+00:00,4.22,6710.229,332.09,0.002719,97.2156,330.1927,248.0732,16.8744,-0.001111,-0.01278,0.1906,0.1831,0.0075,-84.0677,large,9.691,True,da=+16.87km[large] | de=-0.00111
STARLINK-36715,SSO,phasing,2026-05-05 09:35:42+00:00,2026-05-05 17:52:42+00:00,8.28,6848.649,470.51,0.001491,97.1579,236.8903,164.3703,-17.389,0.001519,0.00794,0.3355,0.3357,-0.0002,103.9322,large,9.685,True,da=-17.39km[large] | de=+0.00152
STARLINK-36773,SSO,phasing,2026-05-06 01:25:42+00:00,2026-05-06 09:41:42+00:00,8.27,6849.992,471.85,0.001167,97.1702,314.013,185.7523,-17.3166,0.001688,0.01217,0.3432,0.3355,0.0077,100.047,large,9.642,True,da=-17.32km[large] | de=+0.00169
STARLINK-36389,SSO,mixed,2026-05-04 09:46:42+00:00,2026-05-04 21:13:42+00:00,11.45,6850.222,472.08,0.001422,97.1689,312.4308,176.5681,-17.2242,0.001355,0.01179,0.4735,0.4645,0.009,111.778,large,9.59,True,da=-17.22km[large] | de=+0.00135
STARLINK-37447,SSO,mixed,2026-05-05 01:43:42+00:00,2026-05-05 09:37:42+00:00,7.9,6728.896,350.76,0.001237,97.2019,330.381,181.4825,-16.6537,0.001423,0.01452,0.3409,0.3428,-0.0018,65.2857,large,9.524,True,da=-16.65km[large] | de=+0.00142
STARLINK-36705,SSO,phasing,2026-05-04 09:51:42+00:00,2026-05-04 21:09:42+00:00,11.3,6848.163,470.03,0.000908,97.1608,235.9442,198.855,-16.9004,0.002099,0.00598,0.4657,0.4581,0.0076,77.3962,large,9.414,True,da=-16.90km[large] | de=+0.00210
STARLINK-36702,SSO,mixed,2026-05-05 09:39:42+00:00,2026-05-05 17:45:42+00:00,8.1,6832.29,454.15,0.002875,97.1665,236.9314,284.5235,16.82,-0.001898,-0.0094,0.3305,0.3281,0.0024,61.8169,large,9.402,True,da=+16.82km[large] | de=-0.00190
STARLINK-37213,SSO,raising,2026-05-02 17:42:42+00:00,2026-05-03 01:36:42+00:00,7.9,6761.457,383.32,0.00121,97.2672,353.9229,125.2997,16.5199,0.000371,-0.00608,0.3318,0.3367,-0.0048,45.7796,large,9.38,True,da=+16.52km[large]
STARLINK-36389,SSO,mixed,2026-05-06 01:38:42+00:00,2026-05-06 09:56:42+00:00,8.3,6848.013,469.88,0.000883,97.1714,314.0694,340.2763,-16.8305,-0.000287,0.01256,0.3372,0.3372,0.0001,108.0194,large,9.375,True,da=-16.83km[large]
STARLINK-36705,SSO,phasing,2026-05-05 09:43:42+00:00,2026-05-05 17:49:42+00:00,8.1,6832.447,454.31,0.002876,97.1665,236.9301,284.8705,16.7216,-0.001915,-0.00961,0.3303,0.3281,0.0022,61.8006,large,9.347,True,da=+16.72km[large] | de=-0.00192
STARLINK-36999,53deg,raising,2026-05-03 01:31:42+00:00,2026-05-03 09:48:42+00:00,8.28,6820.855,442.72,0.000284,53.2762,65.6575,87.9684,16.6548,0.000568,0.02934,-1.6036,-1.6184,0.0148,112.316,large,9.333,True,da=+16.65km[large] | di=+0.0293deg
STARLINK-37366,SSO,mixed,2026-05-03 09:39:42+00:00,2026-05-03 17:47:42+00:00,8.13,6705.479,327.34,0.001248,97.2082,328.6138,52.4201,16.1811,0.000178,-0.00575,0.3642,0.354,0.0102,124.5156,large,9.303,True,da=+16.18km[large]
STARLINK-36382,SSO,mixed,2026-05-06 01:50:42+00:00,2026-05-06 09:57:42+00:00,8.12,6847.515,469.38,0.00135,97.1706,314.0628,3.1072,-16.6665,-0.000507,0.01215,0.3314,0.3297,0.0016,66.8594,large,9.285,True,da=-16.67km[large]
STARLINK-36687,SSO,phasing,2026-05-03 17:42:42+00:00,2026-05-04 09:52:42+00:00,16.17,6848.134,470.0,0.000854,97.1601,235.3963,341.2726,-16.6241,-0.000188,0.00739,0.6647,0.6554,0.0093,116.2987,large,9.26,True,da=-16.62km[large]
STARLINK-36718,SSO,phasing,2026-05-04 09:47:42+00:00,2026-05-04 21:07:42+00:00,11.33,6832.143,454.01,0.002891,97.1686,235.9775,258.5241,16.5049,-0.002047,-0.01117,0.4672,0.4593,0.0079,84.9197,large,9.226,True,da=+16.50km[large] | de=-0.00205
STARLINK-37471,SSO,phasing,2026-05-04 09:34:42+00:00,2026-05-04 21:24:42+00:00,11.83,6710.744,332.61,0.00296,97.2147,329.66,284.0814,16.0646,-0.002089,-0.00764,0.5115,0.514,-0.0025,-85.7832,large,9.225,True,da=+16.06km[large] | de=-0.00209
STARLINK-36687,SSO,phasing,2026-05-05 17:54:42+00:00,2026-05-05 23:07:42+00:00,5.22,6831.728,453.59,0.002989,97.1653,237.3712,260.9893,16.2589,-0.001402,-0.00695,0.2114,0.2114,-0.0,118.9545,large,9.089,True,da=+16.26km[large] | de=-0.00140
STARLINK-34876,SSO,phasing,2026-05-05 18:14:42+00:00,2026-05-05 22:44:42+00:00,4.5,6917.129,538.99,0.002807,97.5251,357.393,251.9889,16.5092,-0.001637,-0.00737,0.1835,0.1833,0.0002,-64.2208,large,9.059,True,da=+16.51km[large] | de=-0.00164
STARLINK-36782,SSO,mixed,2026-05-02 17:39:42+00:00,2026-05-03 01:52:42+00:00,8.22,6832.448,454.31,0.000687,97.1774,310.835,74.8425,16.1932,0.000873,-0.0111,0.3407,0.3334,0.0074,88.88,large,9.051,True,da=+16.19km[large]
STARLINK-36705,SSO,phasing,2026-05-03 17:46:42+00:00,2026-05-04 09:51:42+00:00,16.08,6831.988,453.85,0.000693,97.1691,235.287,101.7512,16.1751,0.000215,-0.00827,0.6571,0.652,0.0051,97.1039,large,9.042,True,da=+16.18km[large]
STARLINK-5541,mid-inc,mixed,2026-05-04 19:38:42+00:00,2026-05-05 03:13:42+00:00,7.58,6939.892,561.76,0.000732,69.9446,342.6683,95.6059,16.5134,0.00017,0.01928,-0.7952,-0.7998,0.0046,-96.211,large,9.017,True,da=+16.51km[large]
STARLINK-5846,mid-inc,mixed,2026-05-04 19:43:42+00:00,2026-05-05 03:17:42+00:00,7.57,6939.828,561.69,0.002185,69.8985,322.6037,273.1417,16.4732,-0.001145,0.02051,-0.7983,-0.7998,0.0015,-99.7874,large,8.995,True,da=+16.47km[large] | di=+0.0205deg | de=-0.00115
STARLINK-37366,SSO,mixed,2026-05-02 09:35:42+00:00,2026-05-02 17:33:42+00:00,7.97,6695.25,317.11,0.000897,97.2095,327.5617,110.9385,15.6083,4e-05,-0.008,0.3466,0.3486,-0.002,87.865,large,8.994,True,da=+15.61km[large]
STARLINK-36385,SSO,mixed,2026-05-03 17:53:42+00:00,2026-05-04 09:50:42+00:00,15.95,6834.145,456.01,0.002558,97.1677,235.3664,293.496,16.0112,-0.001255,-0.00982,0.6537,0.6458,0.008,66.2562,large,8.946,True,da=+16.01km[large] | de=-0.00125
STARLINK-37442,SSO,mixed,2026-05-06 01:35:42+00:00,2026-05-06 09:44:42+00:00,8.15,6712.584,334.45,0.000932,97.214,331.4238,66.6528,15.581,0.000134,-0.00313,0.358,0.3538,0.0042,124.5456,large,8.943,True,da=+15.58km[large]
STARLINK-36687,SSO,phasing,2026-05-05 23:07:42+00:00,2026-05-06 01:49:42+00:00,2.7,6847.987,469.85,0.001587,97.1583,237.5826,19.9438,-16.0265,0.001377,0.00995,0.1174,0.1094,0.008,-99.2596,large,8.928,True,da=-16.03km[large] | de=+0.00138
STARLINK-37051,53deg,raising,2026-05-04 09:37:42+00:00,2026-05-04 20:59:42+00:00,11.37,6813.452,435.31,0.001394,52.9993,277.7897,245.3525,15.8916,-0.000218,0.03456,-2.2628,-2.244,-0.0188,109.3483,large,8.92,True,da=+15.89km[large] | di=+0.0346deg
STARLINK-36792,SSO,phasing,2026-05-03 17:38:42+00:00,2026-05-04 09:48:42+00:00,16.17,6847.336,469.2,0.000892,97.1706,311.7355,337.8162,-15.9782,-0.000277,0.00935,0.6583,0.6566,0.0017,116.3868,large,8.902,True,da=-15.98km[large]
STARLINK-34030,mid-inc,phasing,2026-05-04 20:30:42+00:00,2026-05-05 02:28:42+00:00,5.97,6940.243,562.11,0.002078,69.9218,332.699,279.6738,16.2839,-0.001182,0.01965,-0.6236,-0.6299,0.0063,-99.283,large,8.891,True,da=+16.28km[large] | de=-0.00118
STARLINK-37051,53deg,raising,2026-05-02 09:37:42+00:00,2026-05-02 17:43:42+00:00,8.1,6786.987,408.85,0.0016,52.9972,287.3183,263.8465,15.7412,-0.000628,0.0392,-1.6339,-1.6211,-0.0128,84.2593,large,8.887,True,da=+15.74km[large] | di=+0.0392deg
STARLINK-37473,SSO,phasing,2026-05-03 01:39:42+00:00,2026-05-03 09:31:42+00:00,7.87,6700.02,321.88,0.002104,97.2042,328.2659,305.1955,15.4006,-0.000631,-0.00162,0.3413,0.3433,-0.002,63.4961,large,8.865,True,da=+15.40km[large]
STARLINK-36811,SSO,phasing,2026-05-03 17:45:42+00:00,2026-05-04 09:46:42+00:00,16.02,6847.93,469.79,0.000899,97.171,311.817,199.8705,-15.9102,0.002069,0.00798,0.6616,0.6503,0.0113,81.5368,large,8.863,True,da=-15.91km[large] | de=+0.00207
STARLINK-34085,mid-inc,mixed,2026-05-05 22:40:42+00:00,2026-05-06 02:16:42+00:00,3.6,6939.972,561.84,0.000713,69.9136,329.9019,83.0938,16.2215,0.000339,0.0216,-0.3874,-0.3802,-0.0072,88.966,large,8.857,True,da=+16.22km[large] | di=+0.0216deg
STARLINK-36792,SSO,phasing,2026-05-04 09:48:42+00:00,2026-05-04 21:02:42+00:00,11.23,6831.358,453.22,0.000614,97.1799,312.3938,94.203,15.816,0.000975,-0.00718,0.466,0.4563,0.0096,62.2363,large,8.843,True,da=+15.82km[large]
STARLINK-34876,SSO,phasing,2026-05-05 22:44:42+00:00,2026-05-06 02:12:42+00:00,3.47,6933.638,555.5,0.00117,97.5178,357.5765,187.7681,-16.1682,0.001573,0.00454,0.1389,0.1412,-0.0023,62.3514,large,8.84,True,da=-16.17km[large] | de=+0.00157
STARLINK-36389,SSO,mixed,2026-05-05 01:53:42+00:00,2026-05-05 09:58:42+00:00,8.08,6831.928,453.79,0.002928,97.178,313.0936,281.0675,15.8127,-0.00204,-0.00544,0.3338,0.3282,0.0056,57.998,large,8.84,True,da=+15.81km[large] | de=-0.00204
STARLINK-36354,SSO,mixed,2026-05-05 23:12:42+00:00,2026-05-06 01:53:42+00:00,2.68,6831.636,453.5,0.000658,97.1797,313.9422,81.0671,15.8037,0.000212,-0.00855,0.1142,0.109,0.0052,-103.3136,large,8.835,True,da=+15.80km[large]
STARLINK-37471,SSO,phasing,2026-05-02 17:39:42+00:00,2026-05-03 01:30:42+00:00,7.85,6710.316,332.18,0.000886,97.2019,327.9033,201.1643,-15.2432,0.002239,0.00527,0.3463,0.3436,0.0027,59.956,large,8.754,True,da=-15.24km[large] | de=+0.00224
STARLINK-36832,SSO,mixed,2026-05-05 09:42:42+00:00,2026-05-05 17:51:42+00:00,8.15,6713.49,335.35,0.002518,97.2157,330.7151,242.5072,15.2522,-0.001048,-0.00784,0.3617,0.3536,0.0081,124.133,large,8.753,True,da=+15.25km[large] | de=-0.00105
STARLINK-37213,SSO,raising,2026-05-05 01:39:42+00:00,2026-05-05 09:40:42+00:00,8.02,6800.399,422.26,0.000909,97.2678,356.2832,201.8715,-15.5121,0.002134,0.01304,0.339,0.3381,0.001,61.5688,large,8.732,True,da=-15.51km[large] | de=+0.00213
STARLINK-34088,mid-inc,phasing,2026-05-04 20:31:42+00:00,2026-05-05 02:28:42+00:00,5.95,6940.56,562.42,0.002051,69.9223,332.692,282.524,15.9774,-0.001124,0.01916,-0.621,-0.6281,0.0071,-103.0256,large,8.723,True,da=+15.98km[large] | de=-0.00112
STARLINK-36718,SSO,phasing,2026-05-05 09:43:42+00:00,2026-05-05 17:50:42+00:00,8.12,6850.076,471.94,0.001265,97.156,236.9629,359.7535,-15.6598,-0.000331,0.00784,0.327,0.3285,-0.0015,65.8281,large,8.719,True,da=-15.66km[large]
STARLINK-37213,SSO,raising,2026-05-03 09:39:42+00:00,2026-05-03 17:42:42+00:00,8.05,6765.528,387.39,0.002747,97.2744,354.5918,250.0549,15.3407,-0.001645,-0.00855,0.3517,0.3427,0.009,77.1748,large,8.702,True,da=+15.34km[large] | de=-0.00165
STARLINK-37446,SSO,phasing,2026-05-02 09:35:42+00:00,2026-05-02 17:32:42+00:00,7.95,6695.633,317.5,0.00097,97.2091,327.5642,115.156,15.0644,-6.7e-05,-0.0074,0.3453,0.3479,-0.0026,84.02,large,8.68,True,da=+15.06km[large]
STARLINK-36354,SSO,mixed,2026-05-03 09:40:42+00:00,2026-05-03 17:57:42+00:00,8.28,6847.213,469.08,0.000907,97.1691,311.4219,336.5878,-15.5578,-0.000289,0.00996,0.3362,0.3364,-0.0002,104.1444,large,8.668,True,da=-15.56km[large]
STARLINK-36773,SSO,phasing,2026-05-03 17:42:42+00:00,2026-05-04 09:54:42+00:00,16.2,6847.559,469.42,0.00086,97.1705,311.7319,338.1059,-15.5485,-0.000183,0.00907,0.661,0.6578,0.0033,124.0007,large,8.662,True,da=-15.55km[large]
STARLINK-36385,SSO,mixed,2026-05-05 09:48:42+00:00,2026-05-05 17:52:42+00:00,8.07,6833.105,454.97,0.00086,97.1656,237.0078,109.0897,15.4939,0.000683,-0.00912,0.3292,0.3267,0.0025,54.3278,large,8.659,True,da=+15.49km[large]
STARLINK-36708,SSO,phasing,2026-05-05 09:42:42+00:00,2026-05-05 17:48:42+00:00,8.1,6849.913,471.78,0.001159,97.1586,236.1236,184.35,-15.5447,0.001395,0.00656,0.3282,0.3279,0.0003,61.839,large,8.656,True,da=-15.54km[large] | de=+0.00140
STARLINK-5846,mid-inc,mixed,2026-05-04 11:14:42+00:00,2026-05-04 19:43:42+00:00,8.48,6955.72,577.58,0.001114,69.9221,323.4916,167.1448,-15.8918,0.001071,-0.02367,-0.8878,-0.8968,0.0089,105.9969,large,8.648,True,da=-15.89km[large] | di=-0.0237deg | de=+0.00107
STARLINK-37460,SSO,phasing,2026-05-05 09:37:42+00:00,2026-05-05 17:32:42+00:00,7.92,6724.742,346.61,0.000919,97.2094,330.7054,206.9099,-15.0865,0.002175,0.00833,0.3535,0.3443,0.0092,69.1058,large,8.636,True,da=-15.09km[large] | de=+0.00218
STARLINK-36718,SSO,phasing,2026-05-03 09:40:42+00:00,2026-05-03 17:46:42+00:00,8.1,6834.414,456.28,0.000945,97.168,234.9938,114.8574,15.4399,0.000353,-0.00906,0.3276,0.328,-0.0003,62.0474,large,8.626,True,da=+15.44km[large]
STARLINK-36382,SSO,mixed,2026-05-04 09:49:42+00:00,2026-05-04 21:11:42+00:00,11.37,6845.503,467.37,0.001575,97.1702,312.4225,159.8644,-15.3932,0.00124,0.01061,0.4626,0.462,0.0005,94.1586,large,8.579,True,da=-15.39km[large] | de=+0.00124
STARLINK-36687,SSO,phasing,2026-05-05 09:37:42+00:00,2026-05-05 17:54:42+00:00,8.28,6847.121,468.98,0.00157,97.1584,237.0379,157.0316,-15.3924,0.001419,0.0069,0.3333,0.3358,-0.0025,103.9577,large,8.576,True,da=-15.39km[large] | de=+0.00142
STARLINK-36811,SSO,phasing,2026-05-02 09:40:42+00:00,2026-05-02 17:45:42+00:00,8.08,6846.737,468.6,0.001602,97.1691,310.4984,24.7444,-15.322,-0.001014,0.00892,0.3361,0.3283,0.0078,58.1834,large,8.537,True,da=-15.32km[large] | de=-0.00101
STARLINK-34559,mid-inc,phasing,2026-05-05 18:14:42+00:00,2026-05-05 22:43:42+00:00,4.48,6939.824,561.69,0.002049,70.0141,170.1023,268.2227,15.6099,-0.001607,0.02623,-0.4627,-0.4713,0.0086,-72.5887,large,8.523,True,da=+15.61km[large] | di=+0.0262deg | de=-0.00161
STARLINK-37051,53deg,raising,2026-05-03 09:39:42+00:00,2026-05-03 17:43:42+00:00,8.07,6799.135,421.0,0.000243,52.9947,282.5209,89.8863,15.1323,0.001243,0.03695,-1.6163,-1.6047,-0.0116,71.6329,large,8.52,True,da=+15.13km[large] | di=+0.0370deg | de=+0.00124
STARLINK-37473,SSO,phasing,2026-05-04 09:35:42+00:00,2026-05-04 21:14:42+00:00,11.65,6713.531,335.39,0.002424,97.2126,329.6684,299.9346,14.7589,-0.000915,-0.00605,0.5062,0.5054,0.0008,-128.9874,large,8.47,True,da=+14.76km[large]
STARLINK-37460,SSO,phasing,2026-05-05 17:32:42+00:00,2026-05-05 23:21:42+00:00,5.82,6709.656,331.52,0.003095,97.2177,331.0589,276.0157,14.5997,-0.002122,-0.00833,0.2478,0.253,-0.0052,-66.4623,large,8.386,True,da=+14.60km[large] | de=-0.00212
STARLINK-36832,SSO,mixed,2026-05-03 17:40:42+00:00,2026-05-04 09:50:42+00:00,16.17,6711.151,333.01,0.001581,97.2059,328.9751,143.641,14.5888,-9.3e-05,-0.00148,0.7015,0.7018,-0.0003,-137.1443,large,8.377,True,da=+14.59km[large]
STARLINK-37446,SSO,phasing,2026-05-05 09:43:42+00:00,2026-05-05 17:40:42+00:00,7.95,6710.437,332.3,0.002936,97.2171,330.7225,256.4248,14.5714,-0.002086,-0.00794,0.3563,0.3456,0.0107,76.945,large,8.368,True,da=+14.57km[large] | de=-0.00209
STARLINK-36715,SSO,phasing,2026-05-05 17:52:42+00:00,2026-05-05 23:05:42+00:00,5.22,6831.26,453.12,0.00301,97.1659,237.2259,268.3025,14.9536,-0.001488,-0.00636,0.2094,0.2116,-0.0022,118.992,large,8.361,True,da=+14.95km[large] | de=-0.00149
STARLINK-36354,SSO,mixed,2026-05-02 17:50:42+00:00,2026-05-03 01:55:42+00:00,8.08,6835.19,457.05,0.002463,97.1745,310.7737,297.1568,14.8277,-0.00126,-0.01043,0.3261,0.3275,-0.0014,57.9763,large,8.283,True,da=+14.83km[large] | de=-0.00126
STARLINK-36773,SSO,phasing,2026-05-02 17:34:42+00:00,2026-05-03 01:51:42+00:00,8.28,6849.474,471.34,0.001033,97.1677,310.7357,190.9387,-14.8497,0.00147,0.0047,0.3438,0.3357,0.0081,103.8488,large,8.269,True,da=-14.85km[large] | de=+0.00147
STARLINK-33860,mid-inc,phasing,2026-05-05 22:34:42+00:00,2026-05-06 01:19:42+00:00,2.75,6955.162,577.03,0.000473,69.9357,329.7701,196.7924,-15.1922,0.000286,-0.02551,-0.301,-0.2906,-0.0104,-102.1876,large,8.268,True,da=-15.19km[large] | di=-0.0255deg
STARLINK-33860,mid-inc,phasing,2026-05-04 20:32:42+00:00,2026-05-05 02:28:42+00:00,5.93,6941.228,563.09,0.000677,69.9224,332.4904,107.267,15.1354,0.000284,0.01792,-0.6169,-0.6262,0.0093,-106.9648,large,8.262,True,da=+15.14km[large]
STARLINK-34019,mid-inc,mixed,2026-05-03 10:09:42+00:00,2026-05-03 18:27:42+00:00,8.3,6956.055,577.92,0.001068,69.9526,336.0398,9.2514,-15.1632,-0.000314,-0.02465,-0.8708,-0.8758,0.005,64.941,large,8.251,True,da=-15.16km[large] | di=-0.0246deg
STARLINK-37473,SSO,phasing,2026-05-02 09:38:42+00:00,2026-05-02 17:37:42+00:00,7.98,6695.777,317.64,0.000876,97.2097,327.5586,109.994,14.3159,-5e-05,-0.00768,0.3471,0.3494,-0.0023,91.8082,large,8.248,True,da=+14.32km[large]
STARLINK-36782,SSO,mixed,2026-05-04 09:46:42+00:00,2026-05-04 21:03:42+00:00,11.28,6834.916,456.78,0.002488,97.1775,312.4867,296.3298,14.7264,-0.000979,-0.00575,0.4577,0.4575,0.0002,73.6166,large,8.227,True,da=+14.73km[large]
STARLINK-36718,SSO,phasing,2026-05-05 01:37:42+00:00,2026-05-05 09:43:42+00:00,8.1,6835.356,457.22,0.002367,97.1681,236.6328,297.9002,14.72,-0.001102,-0.01209,0.3301,0.3278,0.0023,61.8533,large,8.223,True,da=+14.72km[large] | de=-0.00110
STARLINK-34515,mid-inc,mixed,2026-05-05 18:20:42+00:00,2026-05-05 22:50:42+00:00,4.5,6956.489,578.35,0.000792,70.0395,169.9891,357.2718,-15.0948,0.001029,-0.01959,-0.4776,-0.4727,-0.0049,-68.8654,large,8.213,True,da=-15.09km[large] | de=+0.00103
STARLINK-34548,mid-inc,mixed,2026-05-06 02:05:42+00:00,2026-05-06 10:23:42+00:00,8.3,6939.988,561.85,0.002062,70.0144,169.2245,277.0182,14.9711,-0.001705,0.02784,-0.8759,-0.8726,-0.0034,64.8295,large,8.174,True,da=+14.97km[large] | di=+0.0278deg | de=-0.00170
STARLINK-36705,SSO,phasing,2026-05-02 09:39:42+00:00,2026-05-02 17:43:42+00:00,8.07,6831.659,453.52,0.002991,97.1717,233.9696,279.127,14.547,-0.002093,-0.00809,0.3317,0.3273,0.0044,54.1681,large,8.132,True,da=+14.55km[large] | de=-0.00209
