norad_id,sat_name,propulsion_class,mass_kg,label_binary,label_mw,behavior,label_source,model_version,alt_km,inc_deg,ecc,inc_family_enc,bstar_mean,bstar_std,net_da_km,max_da_km,da_std,da_abs_mean,max_di_deg,max_draan_res_deg,neg_streak,total_drop_km,monotone_decay,n_transitions,n_flagged,flag_rate,burn_freq_per_day,n_windows_flagged,n_tle,mean_tle_gap_h,max_tle_gap_h,dv_net_ms
44752,STARLINK 1047,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,464.61,53.0697,0.000341,1,0.0002258,9.004e-05,-1.342,0.113,0.0198,0.017,0.0008,0.0016,0,1.342,0,79,0,0.0,0.0,0,80,8.33,26.59,0.748
44753,STARLINK 1048,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,379.06,53.0458,0.000354,1,0.0006019,0.00035368,-9.282,0.723,0.1537,0.1362,0.0019,0.0046,2,9.282,0,69,0,0.0,0.0,0,70,9.86,38.32,5.275
44768,STARLINK 1063,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,427.74,53.1583,0.000105,1,0.0007016,0.00029337,-3.89,0.249,0.0487,0.0407,0.0007,0.0016,0,3.89,0,114,0,0.0,0.0,0,115,5.97,24.81,2.187
44771,STARLINK 1067,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,363.4,53.0449,0.000474,1,0.0007337,0.00040576,-13.073,0.57,0.1499,0.1575,0.0016,0.0034,2,13.073,0,83,0,0.0,0.0,0,84,8.19,41.2,7.455
44772,STARLINK 1068,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,357.42,53.0449,0.000231,1,0.0004375,0.00010327,-9.306,0.305,0.0572,0.0816,0.0005,0.0012,1,9.306,0,114,0,0.0,0.0,0,115,5.96,22.89,5.314
44927,STARLINK-1114,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,389.31,53.0438,0.000344,1,0.000919,0.00022915,-13.525,0.524,0.0908,0.1129,0.0005,0.0012,1,13.525,0,120,0,0.0,0.0,0,121,5.68,23.04,7.669
44930,STARLINK-1123,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,409.39,53.1461,0.000225,1,0.0010062,0.00026133,-11.184,0.327,0.0688,0.0912,0.0003,0.0018,1,11.184,0,123,0,0.0,0.0,0,124,5.57,24.69,6.314
44941,STARLINK-1094,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,418.63,53.1555,0.000183,1,0.0010434,0.00027976,-11.314,0.684,0.0864,0.0943,0.0006,0.0011,1,11.314,0,120,0,0.0,0.0,0,121,5.68,23.19,6.374
44949,STARLINK-1122,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,419.16,53.1577,0.000153,1,0.0010741,0.00031419,-9.997,0.47,0.1299,0.1343,0.0047,0.0043,1,9.997,0,76,0,0.0,0.0,0,77,8.97,46.4,5.631
44961,STARLINK-1080,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,399.17,53.0493,4e-05,1,0.0016788,0.00345485,-30.532,3.925,0.7292,0.3658,0.0017,0.004,11,30.532,1,85,5,0.0588,0.1667,1,86,7.86,27.73,17.274
44968,STARLINK-1090,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,428.7,53.1522,0.000191,1,0.0010224,0.00028608,-9.446,0.317,0.0621,0.0794,0.0005,0.0012,1,9.446,0,119,0,0.0,0.0,0,120,5.73,24.8,5.31
45044,STARLINK-1132,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,415.5,53.1547,0.000322,1,0.0011032,0.00026489,-10.709,0.63,0.1606,0.1797,0.0019,0.0063,3,10.709,1,60,0,0.0,0.0,0,61,11.38,47.9,6.037
45047,STARLINK-1131,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,423.55,53.1596,0.000128,1,0.0010757,0.00023529,-9.518,0.508,0.1308,0.1271,0.0069,0.0034,2,9.518,0,75,0,0.0,0.0,0,76,9.06,40.26,5.356
45048,STARLINK-1134,Electric_EP,227.0,1,1,OrbitLowering,tle_annotation_v1,v1.0-tle-annotation-plan-b,415.23,53.031,0.000343,1,0.001411,0.00036335,-15.582,1.002,0.2109,0.2024,0.0017,0.0039,4,15.582,1,77,1,0.013,0.0333,0,78,8.91,30.89,8.785
45054,STARLINK-1156,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,470.02,53.159,0.000168,1,0.0012223,0.00031003,-6.53,0.298,0.0797,0.0948,0.0032,0.0038,0,6.53,0,69,0,0.0,0.0,0,70,9.86,50.07,3.637
45057,STARLINK-1159,Electric_EP,227.0,0,0,DragMakeup,tle_annotation_v1,v1.0-tle-annotation-plan-b,241.25,53.0332,0.000713,1,0.0007337,0.00015911,-94.818,29.821,6.8002,5.5801,0.004,0.0297,10,94.818,1,17,12,0.7059,0.4,1,18,8.79,23.73,55.578
45060,STARLINK-1166,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,406.18,53.0491,0.000204,1,0.0010317,0.00019469,-12.0,0.307,0.0692,0.0984,0.0004,0.0013,1,12.0,0,122,0,0.0,0.0,0,123,5.57,20.05,6.779
45061,STARLINK-1169,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,461.7,53.1593,0.000406,1,0.0012443,0.00031709,-7.555,0.47,0.1058,0.0973,0.0014,0.0034,1,7.555,0,78,0,0.0,0.0,0,79,8.55,46.83,4.216
45062,STARLINK-1171,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,359.78,53.0443,0.00038,1,0.0004577,8.458e-05,-9.425,0.483,0.1183,0.1386,0.0023,0.0016,2,9.425,0,68,0,0.0,0.0,0,69,10.08,47.33,5.38
45064,STARLINK-1133,Electric_EP,227.0,1,1,DragMakeup,tle_annotation_v1,v1.0-tle-annotation-plan-b,469.82,53.1624,0.000137,1,0.0016151,0.00377629,-6.382,2.9,0.4969,0.1812,0.0034,0.0049,1,6.382,0,65,2,0.0308,0.0667,1,66,10.52,39.11,3.555
45071,STARLINK-1167,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,463.54,53.1601,0.000358,1,0.001175,0.00032225,-6.968,0.478,0.0914,0.0851,0.0043,0.0032,1,6.968,0,82,0,0.0,0.0,0,83,8.33,32.81,3.887
45072,STARLINK-1168,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,469.87,53.1606,0.000143,1,0.0011853,0.00035454,-6.757,0.305,0.075,0.0795,0.0087,0.0041,1,6.757,0,85,0,0.0,0.0,0,86,8.03,42.24,3.764
45074,STARLINK-1172,Electric_EP,227.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,460.77,53.1576,0.000338,1,0.0030318,0.01086641,-13.993,7.173,0.8565,0.2058,0.0044,0.0067,3,13.993,0,68,1,0.0147,0.0333,0,69,10.03,31.23,7.81
