sat_name,norad_id,obj_id,status,inc_shell,i_deg_mean,raan_plane,raan_deg_start,alt_shell,alt_km_start,alt_km_end,net_da_km,e_start,maneuver_class,dv_total_ms,n_large,型號,發射日期,物理尺寸,重量,通訊載荷,動力系統
STARLINK-6096,56103,1261039,Operational,43deg,42.94,5,217.21,operational,482.7,489.5,-1.26,0.00087,mixed,25.6,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6076,56100,1261058,Operational,43deg,42.941,5,216.85,operational,485.7,489,6.05,0.00062,mixed,25.4,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6062,56104,1261101,Operational,43deg,42.945,5,217.14,operational,486.6,491.2,-0.1,0.00098,mixed,23.7,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6095,56101,1261058,Operational,43deg,42.94,5,217.11,operational,487.9,488.4,-2.79,0.00127,mixed,24.2,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-6066,56105,1261106,Operational,43deg,42.949,5,217.56,operational,490.9,491.8,-4.61,0.00072,mixed,17.1,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30837,58212,1261046,Operational,43deg,42.871,6,250.64,operational,480.7,485,7.77,0.0005,mixed,25.8,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30813,58213,1261054,Operational,43deg,42.872,6,250.13,operational,481.4,489.2,1.16,0.00061,mixed,24.8,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30835,58219,1261045,Operational,43deg,42.87,6,250.29,operational,483,484.6,4.53,0.00034,mixed,24.1,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30846,58210,1261051,Operational,43deg,42.867,6,250.76,operational,484.6,480.6,3.53,0.00102,mixed,23.2,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30818,58217,1261048,Operational,43deg,42.878,6,250.06,operational,487.1,489.3,-2.25,0.00044,mixed,21.8,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30838,58211,1261048,Operational,43deg,42.882,6,250.04,operational,488.4,489.4,-5.65,0.00068,mixed,21,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30794,58218,1261052,Operational,43deg,42.881,6,249.97,operational,489.4,483.1,-7.55,0.00098,phasing,22.8,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30851,58215,1261049,Operational,43deg,42.885,6,250,operational,489.5,488.2,-8.97,0.00116,phasing,20.2,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30805,58214,1261048,Operational,43deg,42.881,6,249.98,operational,489.6,480.5,-8.45,0.00109,mixed,28.6,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31156,58743,1261046,Operational,43deg,42.851,7,275.74,operational,480.6,488.3,8.88,0.00044,raising,20.9,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31557,59357,1261034,Operational,43deg,42.87,7,311.95,operational,480.6,481.2,2.76,0.00067,mixed,22.9,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30201,57301,1261045,Operational,43deg,42.852,7,279.48,operational,480.8,488.5,8.8,0.00047,mixed,26.5,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31042,58739,1261046,Operational,43deg,42.853,7,275.84,operational,483.4,482.1,1.56,0.00088,mixed,18.4,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31101,58737,1261051,Operational,43deg,42.854,7,275.83,operational,484.3,482.6,5.25,0.00096,phasing,22.5,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
