norad_id,sma_mean_km,alt_mean_km,sma_net_30d_km,sma_slope_km_day,sma_std_30d_km,sma_resid_std_km,sma_range_30d_km,inc_std_30d_deg,raan_res_30d_deg,ecc_mean,n_tle_30d,maneuver_class,alt_shell,inc_shell,i_deg_mean,alt_start_km,alt_end_km,net_da_km,abs_da_mean,abs_da_max,dv_total_ms
59355,6861.2,483.06,0.033,0.00082,0.0254,0.0239,0.158,0.00272,359.8728,0.00011,59,mixed,operational,43deg,42.885,487.53,489.31,-5.2099,4.354725000000001,8.8215,29.004
59356,6861.19,483.06,0.007,-0.00035,0.0358,0.0356,0.207,0.0018,359.8793,0.000128,59,mixed,operational,43deg,42.884,487.74,484.77,-6.472899999999999,3.052591666666667,7.9694,20.337
59357,6861.19,483.05,0.028,0.00216,0.0672,0.0625,0.5,0.00127,359.8775,0.000121,64,mixed,operational,43deg,42.87,480.61,481.18,2.7633,3.431925,7.2533,22.872
59358,6861.19,483.06,0.09,0.00055,0.0413,0.041,0.25,0.00237,359.8766,0.00012,64,mixed,operational,43deg,42.882,484.52,484.85,-2.9722000000000017,2.6559833333333334,7.3344,17.698
59359,6861.18,483.04,-0.024,5e-05,0.0275,0.0275,0.137,0.00226,359.8713,0.000135,56,mixed,operational,43deg,42.88,480.6,480.69,5.887600000000001,4.222533333333334,8.5172,28.139000000000003
59429,6853.37,475.24,0.015,-0.00069,0.0412,0.0406,0.323,0.00121,0.0269,0.000118,74,phasing,operational,53deg,53.218,472.25,480.98,5.737100000000002,6.739441666666667,11.7227,44.998
59430,6853.38,475.24,-0.011,-9e-05,0.0282,0.0282,0.165,0.00115,0.0225,0.00012,74,mixed,operational,53deg,53.213,470.75,481.74,9.683700000000002,6.388058333333333,12.0016,42.658
59431,6853.37,475.24,0.115,0.00049,0.0293,0.0289,0.178,0.00128,0.0275,0.000122,64,mixed,operational,53deg,53.211,473.6,470.19,6.643500000000001,5.919391666666667,11.7248,39.53
59432,6853.38,475.24,0.074,-1e-05,0.0331,0.0331,0.167,0.00109,0.0255,0.000126,65,lowering,operational,53deg,53.217,481.02,472.71,-9.961900000000002,4.889208333333333,11.9109,32.644
59433,6853.37,475.24,-0.049,-0.00074,0.0476,0.0469,0.323,0.0012,0.0241,0.000108,70,mixed,operational,53deg,53.22,476.08,480.49,-6.039099999999999,5.422958333333334,11.1975,36.194
59434,6853.38,475.24,-0.116,-0.00097,0.0279,0.0262,0.202,0.00127,0.0272,0.000111,70,mixed,operational,53deg,53.215,476.07,474.49,5.655300000000001,4.507141666666667,11.596,30.1
59435,6853.37,475.23,0.018,-0.00044,0.028,0.0277,0.115,0.001,0.0246,0.000126,70,mixed,operational,53deg,53.212,473.95,473.44,2.4145999999999974,4.2341500000000005,11.5803,28.279
59436,6853.37,475.23,0.024,-0.00026,0.0247,0.0246,0.136,0.00097,0.0293,0.000117,62,mixed,operational,53deg,53.213,471.69,479.59,7.284700000000001,3.0891416666666665,8.6914,20.634
59437,6853.37,475.23,-0.107,-0.00088,0.0284,0.027,0.186,0.00077,0.024,0.000117,64,mixed,operational,53deg,53.218,473.37,481.24,-2.5387000000000004,6.430125,11.8979,42.922
59456,6861.18,483.05,-0.038,-0.00077,0.0269,0.0256,0.187,0.00147,359.878,0.000126,63,mixed,operational,43deg,43.138,480.57,480.57,5.967400000000001,3.7249,8.7164,24.818
59457,6861.18,483.05,-0.004,-0.00058,0.0343,0.0337,0.213,0.00167,359.8828,0.000124,61,mixed,operational,43deg,43.139,482.78,482.95,2.7679,2.5927416666666665,7.1712,17.279
59458,6861.19,483.05,-0.041,-0.00029,0.0383,0.0382,0.196,0.00187,359.8833,0.000137,62,mixed,operational,43deg,43.147,487.07,486.73,1.331599999999999,2.9097166666666663,8.1128,19.381
59459,6861.2,483.06,-0.012,0.0003,0.0205,0.0202,0.134,0.00168,359.8769,0.000122,65,mixed,operational,43deg,43.146,483.02,486.6,6.0581000000000005,3.513591666666667,8.7813,23.411
59550,6861.18,483.05,0.026,0.0001,0.0271,0.0271,0.155,0.00234,359.8776,0.000109,73,mixed,operational,43deg,43.071,489.1,488.15,-7.8932,4.1673833333333326,7.4398,27.764
59551,6861.19,483.06,-0.017,0.00076,0.0401,0.0393,0.251,0.00269,359.8791,0.000117,65,mixed,operational,43deg,43.069,482.25,482.53,7.425499999999999,3.254008333333333,7.5099,21.681
59552,6861.19,483.05,-0.067,-0.00049,0.0355,0.0351,0.204,0.00238,359.8788,0.000126,59,mixed,operational,43deg,43.076,489.61,482.18,-8.7498,3.767633333333334,8.865,25.096
59553,6861.18,483.04,0.024,-0.0003,0.0321,0.0319,0.182,0.00261,359.8831,0.000134,67,mixed,operational,43deg,43.075,489.17,480.38,-3.206999999999999,3.774433333333333,8.9819,25.146
59554,6861.19,483.06,-0.289,-0.00069,0.0486,0.0482,0.416,0.00195,359.8813,9.6e-05,69,lowering,operational,43deg,42.982,489.83,484.05,-8.3524,3.2756666666666674,7.3768,21.824
59555,6861.19,483.05,-0.076,0.00012,0.0268,0.0267,0.134,0.00226,359.8744,0.00011,68,mixed,operational,43deg,43.069,482.99,481.12,0.2017999999999999,3.0126499999999994,8.4329,20.073
59556,6861.19,483.05,-0.135,0.00046,0.0486,0.0484,0.308,0.00184,359.8808,0.00013,64,raising,operational,43deg,43.067,481.23,489.3,8.2044,3.3854166666666665,8.1971,22.553
59841,6861.2,483.07,0.038,0.00062,0.0539,0.0534,0.309,0.00221,359.8757,0.000113,60,mixed,operational,43deg,42.894,480.45,486.36,7.4097,3.3694916666666668,7.9123,22.449
59842,6861.19,483.05,0.052,0.00052,0.0304,0.0298,0.127,0.0034,359.8725,0.000118,64,mixed,operational,43deg,42.909,486.86,483.27,-1.2731,3.716958333333334,8.7019,24.768
59843,6861.19,483.06,0.009,-0.00044,0.0513,0.051,0.406,0.0014,359.8767,0.000107,56,mixed,operational,43deg,42.909,484.05,483.18,5.557600000000001,3.02015,6.4248,20.12
59844,6861.19,483.06,0.036,0.00017,0.0262,0.0261,0.129,0.00227,359.8724,9.7e-05,57,mixed,operational,43deg,42.907,488.32,483.59,-7.666700000000001,3.289591666666667,7.4008,21.916
59845,6861.2,483.06,-0.024,0.00062,0.0435,0.043,0.29,0.00399,359.8691,0.00013,61,mixed,operational,43deg,42.895,486.12,489.29,1.145500000000001,4.389725000000001,8.4999,29.25
59846,6861.18,483.05,0.01,-0.00086,0.0369,0.0357,0.266,0.00179,359.8753,0.000116,64,mixed,operational,43deg,42.908,482.2,483.95,6.1483,3.8603083333333337,7.8353,25.718
59847,6861.18,483.05,0.006,-0.00093,0.0398,0.0384,0.176,0.00209,359.874,0.000128,59,mixed,operational,43deg,42.906,481.52,482.69,4.6755,4.596308333333334,8.572,30.622
59848,6861.2,483.06,0.034,1e-05,0.0372,0.0372,0.273,0.00125,359.8736,0.000113,57,mixed,operational,43deg,42.893,480.67,488.85,8.8553,3.352208333333333,8.5132,22.341
59849,6861.19,483.06,0.027,0.00024,0.0241,0.0239,0.147,0.00271,359.867,0.000104,66,mixed,operational,43deg,42.907,487.54,486.81,-3.7795,3.404825,7.7378,22.684
60102,6853.38,475.24,0.007,-5e-05,0.0222,0.0222,0.125,0.00076,0.0276,9.5e-05,61,mixed,operational,53deg,53.256,477.37,474.77,-6.062099999999999,5.562825,11.2508,37.143
60103,6853.28,475.15,0.017,-0.00418,0.7151,0.7137,5.151,0.00049,0.0341,0.000137,50,lowering,operational,53deg,53.252,476.22,470.84,-6.915900000000001,3.289808333333333,6.4907,21.97
60104,6853.37,475.23,0.037,0.00023,0.046,0.046,0.394,0.00081,0.0282,0.000116,69,mixed,operational,53deg,53.255,469.46,481.24,6.199199999999998,6.5514,11.5442,43.746
60105,6853.38,475.24,-0.016,0.00037,0.0204,0.0201,0.136,0.00071,0.0251,0.000106,53,mixed,operational,53deg,53.259,481.66,470.34,-1.775999999999998,7.49265,11.8527,50.018
60106,6853.38,475.24,-0.013,2e-05,0.0233,0.0233,0.153,0.00057,0.0248,0.000104,62,mixed,operational,53deg,53.257,481.24,469.49,-5.090999999999999,6.7811,12.2532,45.269
60107,6853.37,475.23,0.023,0.00021,0.043,0.0429,0.382,0.00076,0.0259,0.000111,68,mixed,operational,53deg,53.257,470.4,480.44,5.871899999999998,6.171025,10.7632,41.214
60108,6853.37,475.24,0.046,8e-05,0.0732,0.0732,0.609,0.0007,0.0254,0.000113,64,mixed,operational,53deg,53.256,472.62,474.74,-0.7037000000000004,4.953625000000001,10.5083,33.084
60109,6853.38,475.24,0.028,-0.00014,0.0214,0.0214,0.155,0.00047,0.0251,0.000115,59,mixed,operational,53deg,53.255,470.72,473.26,9.132,4.365333333333333,10.8339,29.152
60110,6853.37,475.24,0.105,0.00131,0.0297,0.0265,0.178,0.00099,0.0239,0.000114,66,mixed,operational,53deg,53.261,480.63,469.43,-2.148699999999998,6.778858333333333,11.9393,45.252
60111,6853.38,475.24,0.041,0.00037,0.0206,0.0202,0.137,0.0006,0.0243,0.000116,58,mixed,operational,53deg,53.26,478.1,470.25,2.7503999999999973,5.770833333333333,11.402,38.53
60312,6737.85,359.71,0.102,0.00139,0.0372,0.034,0.212,0.0011,0.0403,0.000101,59,phasing,deployment,53deg,53.044,366.3,355.63,-1.7020999999999995,6.963408333333334,11.8379,47.683
60313,6737.86,359.72,0.023,0.00021,0.0445,0.0444,0.238,0.00111,0.0365,9.8e-05,65,mixed,deployment,53deg,53.041,365.17,353.83,0.8752999999999993,5.520458333333334,12.214,37.823
