norad_id,sat_name,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,da_km,de,di_deg,draan_raw_deg,draan_res_deg,da_severity,score,flagged,flag_reason
64786,TIANZHOU-9,2025-07-16 11:28:16.989024+00:00,2025-07-17 20:38:35.510208+00:00,33.17,6775.164,397.03,0.000846,41.464,203.0052,274.3881,0.001669,57.305,9.1712,12.7059,large,2865.25,True,da=+274.39km[large] | di=+57.3050deg | de=+0.00167 | dOmega_res=+12.706deg
64786,TIANZHOU-9,2025-07-15 12:22:35.063040+00:00,2025-07-16 06:59:12.842304+00:00,18.61,6775.208,397.07,0.000853,41.4639,208.8266,274.4276,0.001655,57.3047,1.6732,3.6562,large,2865.235,True,da=+274.43km[large] | di=+57.3047deg | de=+0.00165 | dOmega_res=+3.656deg
64786,TIANZHOU-9,2025-07-16 06:59:12.842304+00:00,2025-07-16 11:28:16.989024+00:00,4.48,7049.636,671.5,0.002508,98.7686,210.4998,-274.4713,-0.001661,-57.3046,-7.4946,-7.0168,large,2865.23,True,da=-274.47km[large] | di=-57.3046deg | de=-0.00166 | dOmega_res=-7.017deg
64786,TIANZHOU-9,2025-07-28 23:29:29.830272+00:00,2025-07-29 22:45:34.789248+00:00,23.27,7048.89,670.75,0.002592,98.769,224.0624,-275.0546,-0.002007,-57.3045,-102.5668,-100.0862,large,2865.225,True,da=-275.05km[large] | di=-57.3045deg | de=-0.00201 | dOmega_res=-100.086deg
65723,GEESAT 6-11,2025-10-15 16:48:39.045024+00:00,2025-10-18 03:49:09.835104+00:00,59.01,7498.15,1120.01,0.134561,50.2842,2.4838,-526.1733,-0.1332,-0.298,-11.6403,-1.4454,large,526.1733,True,da=-526.17km[large] | di=-0.2980deg | de=-0.13320 | dOmega_res=-1.445deg
67070,DEAR-5,2025-12-13 01:08:41.999712+00:00,2025-12-14 08:21:04.130208+00:00,31.21,7172.007,793.87,0.001167,49.96,71.6976,-279.6776,0.000429,-8.6066,20.6938,27.1286,large,430.33,True,da=-279.68km[large] | di=-8.6066deg | dOmega_res=+27.129deg
65721,GEESAT 6-09,2025-10-11 08:00:57.078144+00:00,2025-10-11 14:28:02.747712+00:00,6.45,6976.01,597.87,0.000996,49.9825,22.9636,375.3036,0.058022,0.0581,1.495,2.6434,large,375.3036,True,da=+375.30km[large] | di=+0.0581deg | de=+0.05802 | dOmega_res=+2.643deg
65721,GEESAT 6-09,2025-10-11 14:28:02.747712+00:00,2025-10-18 06:03:10.359936+00:00,159.59,7351.314,973.18,0.059018,50.0406,24.4586,-362.0716,-0.057844,-0.0568,-33.7728,-5.4579,large,362.0716,True,da=-362.07km[large] | di=-0.0568deg | de=-0.05784 | dOmega_res=-5.458deg
65723,GEESAT 6-11,2025-10-12 15:57:34.073280+00:00,2025-10-13 14:30:14.627808+00:00,22.54,6971.144,593.01,0.001459,49.9857,16.6215,343.8168,0.086242,0.0714,-13.8188,-9.7571,large,343.8168,True,da=+343.82km[large] | di=+0.0714deg | de=+0.08624 | dOmega_res=-9.757deg
65720,GEESAT 6-08,2025-10-12 06:29:05.868384+00:00,2025-10-18 20:26:50.137152+00:00,157.96,6981.796,603.66,0.052894,55.4707,19.3992,5.0026,-0.05133,-5.4799,-31.5465,-2.6011,medium,273.995,True,da=+5.00km[medium] | di=-5.4799deg | de=-0.05133 | dOmega_res=-2.601deg
65720,GEESAT 6-08,2025-10-11 17:36:37.815264+00:00,2025-10-12 06:29:05.868384+00:00,12.87,6972.503,594.37,0.00138,49.9911,21.074,9.2924,0.051514,5.4796,-1.6748,0.6928,medium,273.98,True,da=+9.29km[medium] | di=+5.4796deg | de=+0.05151 | dOmega_res=+0.693deg
65120,GEESAT 4-02,2025-08-08 21:05:38.465952+00:00,2025-08-08 21:15:03.297312+00:00,0.16,6748.384,370.25,0.034094,50.1624,184.3943,224.2913,-0.032902,-0.1796,0.0251,0.0575,large,224.2913,True,da=+224.29km[large] | di=-0.1796deg | de=-0.03290
65712,SHIKONGXING 01,2025-10-16 06:09:56.350944+00:00,2025-10-20 10:42:42.110208+00:00,100.55,6972.218,594.08,0.001356,49.9866,341.1568,-0.0067,-2e-06,0.0001,-0.9431,18.7091,none,187.0905,True,dOmega_res=+18.709deg
65723,GEESAT 6-11,2025-10-13 14:30:14.627808+00:00,2025-10-15 16:48:39.045024+00:00,50.31,7314.961,936.82,0.087701,50.0571,2.8027,183.1892,0.046859,0.2271,-0.3189,7.8082,large,183.1892,True,da=+183.19km[large] | di=+0.2271deg | de=+0.04686 | dOmega_res=+7.808deg
65712,SHIKONGXING 01,2025-10-11 17:38:01.946400+00:00,2025-10-16 06:09:56.350944+00:00,108.53,6859.334,481.2,0.018991,50.2785,19.9438,112.8843,-0.017635,-0.2919,-38.787,-17.0237,large,170.2374,True,da=+112.88km[large] | di=-0.2919deg | de=-0.01763 | dOmega_res=-17.024deg
65715,GEESAT 6-03,2025-10-13 08:06:32.525280+00:00,2025-10-13 12:56:19.735584+00:00,4.83,6971.024,592.89,0.001366,49.983,13.4925,159.2866,0.02342,0.0575,0.2147,1.1223,large,159.2866,True,da=+159.29km[large] | di=+0.0575deg | de=+0.02342 | dOmega_res=+1.122deg
65715,GEESAT 6-03,2025-10-13 12:56:19.735584+00:00,2025-10-13 17:45:21.770784+00:00,4.82,7130.311,752.17,0.024787,50.0405,13.7072,-159.2642,-0.023414,-0.0571,-2.1018,-1.1966,large,159.2642,True,da=-159.26km[large] | di=-0.0571deg | de=-0.02341 | dOmega_res=-1.197deg
65718,GEESAT 6-06,2025-10-16 00:48:26.419968+00:00,2025-10-18 03:54:21.262176+00:00,51.1,7116.592,738.46,0.060973,49.0405,2.9295,-144.392,-0.059761,0.9503,-12.0543,-2.3077,large,144.392,True,da=-144.39km[large] | di=+0.9503deg | de=-0.05976 | dOmega_res=-2.308deg
65718,GEESAT 6-06,2025-10-12 14:30:52.943616+00:00,2025-10-16 00:48:26.419968+00:00,82.29,6993.497,615.36,0.058815,49.7997,16.6893,123.0954,0.002158,-0.7592,-13.7598,1.9669,large,123.0954,True,da=+123.10km[large] | di=-0.7592deg | de=+0.00216 | dOmega_res=+1.967deg
65560,GEESAT 5-11,2025-09-09 01:35:18.462624+00:00,2025-09-10 03:27:51.655104+00:00,25.88,6852.174,474.04,0.018956,50.0767,264.0578,119.392,-0.017446,-0.0911,-5.0008,0.2092,large,119.392,True,da=+119.39km[large] | di=-0.0911deg | de=-0.01745 | dOmega_res=+0.209deg
65560,GEESAT 5-11,2025-09-11 08:24:11.145600+00:00,2025-09-12 14:11:13.213824+00:00,29.78,6969.471,591.33,0.001266,49.9861,253.3964,-118.7631,0.017438,0.0907,-6.9019,-0.8997,large,118.7631,True,da=-118.76km[large] | di=+0.0907deg | de=+0.01744 | dOmega_res=-0.900deg
65560,GEESAT 5-11,2025-09-12 14:11:13.213824+00:00,2025-09-13 23:03:35.989344+00:00,32.87,6850.708,472.57,0.018704,50.0768,246.4945,116.2598,-0.017438,-0.0917,-5.3747,1.2543,large,116.2598,True,da=+116.26km[large] | di=-0.0917deg | de=-0.01744 | dOmega_res=+1.254deg
65712,SHIKONGXING 01,2025-10-11 07:59:03.858720+00:00,2025-10-11 17:38:01.946400+00:00,9.65,6972.485,594.35,0.001352,49.9874,22.9593,-113.1519,0.017639,0.2911,-3.0155,-1.0807,large,113.1519,True,da=-113.15km[large] | di=+0.2911deg | de=+0.01764 | dOmega_res=-1.081deg
65716,GEESAT 6-04,2025-10-13 14:29:21.771744+00:00,2025-10-14 14:36:19.722240+00:00,24.12,6935.475,557.34,0.024671,50.6147,11.7111,101.1892,-0.000315,-0.5674,-2.6862,1.9667,large,101.1892,True,da=+101.19km[large] | di=-0.5674deg | dOmega_res=+1.967deg
65127,GEESAT 4-09,2025-09-05 11:50:37.237056+00:00,2025-09-26 21:49:01.300512+00:00,513.97,6997.673,619.54,0.001832,49.9914,55.1338,80.3513,0.000338,0.0025,-96.4024,0.8032,large,80.3513,True,da=+80.35km[large] | dOmega_res=+0.803deg
65261,OBJECT C,2025-10-02 16:50:36.877344+00:00,2025-10-05 01:58:18.146208+00:00,57.13,6973.076,594.94,0.015496,97.758,38.3998,-65.6718,-0.013895,-0.261,5.3528,3.01,large,65.6718,True,da=-65.67km[large] | di=-0.2610deg | de=-0.01389 | dOmega_res=+3.010deg
65261,OBJECT C,2025-10-02 15:12:50.601600+00:00,2025-10-02 16:50:36.877344+00:00,1.63,6907.554,529.42,0.001591,97.4963,41.3493,65.5219,0.013905,0.2617,-2.9495,-3.0163,large,65.5219,True,da=+65.52km[large] | di=+0.2617deg | de=+0.01391 | dOmega_res=-3.016deg
65722,GEESAT 6-10,2025-10-14 04:15:21.756096+00:00,2025-10-18 06:38:50.271072+00:00,98.39,6981.466,603.33,0.016124,51.2867,10.4177,5.3366,-0.015043,-1.2969,-19.5655,-0.7066,medium,64.845,True,da=+5.34km[medium] | di=-1.2969deg | de=-0.01504 | dOmega_res=-0.707deg
65722,GEESAT 6-10,2025-10-13 23:23:39.067872+00:00,2025-10-14 04:15:21.756096+00:00,4.86,6986.135,608.0,0.001728,50.0356,10.8062,-4.669,0.014396,1.2511,-0.3885,0.5431,small,62.555,True,da=-4.67km[small] | di=+1.2511deg | de=+0.01440 | dOmega_res=+0.543deg
65718,GEESAT 6-06,2025-10-12 06:23:00.915648+00:00,2025-10-12 14:30:52.943616+00:00,8.13,6971.752,593.61,0.00128,49.9901,18.5339,21.7449,0.057534,-0.1904,-1.8446,-0.2577,large,57.5345,True,da=+21.74km[large] | di=-0.1904deg | de=+0.05753 | dOmega_res=-0.258deg
65716,GEESAT 6-04,2025-10-14 14:36:19.722240+00:00,2025-10-18 04:07:59.466720+00:00,85.53,7036.665,658.53,0.024355,50.0473,9.0249,-49.8354,-0.023237,-0.0599,-18.0957,-1.7117,large,49.8354,True,da=-49.84km[large] | di=-0.0599deg | de=-0.02324 | dOmega_res=-1.712deg
65719,GEESAT 6-07,2025-10-12 06:20:33.997632+00:00,2025-10-12 12:45:26.898912+00:00,6.41,6970.619,592.48,0.001464,49.9824,18.5121,-23.4508,0.025387,-0.9324,2.8221,4.0971,large,46.62,True,da=-23.45km[large] | di=-0.9324deg | de=+0.02539 | dOmega_res=+4.097deg
