norad_id,sat_name,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,da_km,de,di_deg,draan_raw_deg,draan_res_deg,da_severity,score,flagged,flag_reason
59282,YUNHAI 2-2C,2024-10-23 03:43:47.294400+00:00,2024-10-23 18:06:27.630144+00:00,14.38,7511.23,1133.09,0.000536,50.0991,171.0381,-3.4645,0.000439,-0.0013,-2.1637,-0.0015,small,3.4645,True,da=-3.46km[small]
61192,JILIN-01 KUANFU 02B 4,2024-10-22 02:07:44.067936+00:00,2024-10-22 11:40:15.272832+00:00,9.54,6911.811,533.67,0.00134,97.586,21.1909,3.4553,-0.000485,0.0,0.394,-0.0004,small,3.4553,True,da=+3.46km[small]
58915,GEESAT 2-11,2024-12-27 15:15:31.351392+00:00,2024-12-29 18:43:01.174944+00:00,51.46,6968.833,590.7,0.000259,50.0,337.9837,3.4548,0.000472,0.0002,-10.0571,0.0061,small,3.4548,True,da=+3.45km[small]
43943,JILIN-01-09,2024-06-20 04:53:34.101024+00:00,2024-06-20 22:20:05.333856+00:00,17.44,6897.023,518.89,0.001026,97.4893,265.9931,3.4517,0.000158,0.0005,0.7155,-0.0017,small,3.4517,True,da=+3.45km[small]
44358,FORMOSAT7-5/COSMIC2-5,2024-07-18 18:43:13.705536+00:00,2024-07-21 13:25:06.668544+00:00,66.7,6918.129,539.99,0.000276,24.0008,346.7258,3.4501,-0.000182,-0.0008,-19.0718,-0.0542,small,3.4501,True,da=+3.45km[small]
52391,JILIN-01 GAOFEN 3D 6,2024-07-02 10:17:29.168448+00:00,2024-07-02 17:08:55.437792+00:00,6.86,6871.319,493.18,0.000263,97.5143,274.9085,3.4485,-7e-06,0.0046,0.2796,-0.0071,small,3.4485,True,da=+3.45km[small]
54045,YAOGAN-36 02C,2024-10-24 11:11:24.785376+00:00,2024-10-26 10:23:31.689888+00:00,47.2,6872.37,494.23,0.000746,34.9955,304.0543,3.4478,-0.000398,-0.0004,-12.3656,-0.0133,small,3.4478,True,da=+3.45km[small]
61013,GEESAT 3-03,2024-09-20 07:39:56.331072+00:00,2024-09-20 20:27:21.370752+00:00,12.79,6942.802,564.67,0.00127,49.9932,171.0822,3.4402,0.000512,-0.0012,-2.5351,-0.0004,small,3.4402,True,da=+3.44km[small]
46457,JILIN-01 GAOFEN 3E,2024-12-10 20:46:26.083488+00:00,2024-12-11 18:42:04.708224+00:00,21.93,6841.266,463.13,0.001398,97.3169,28.6673,3.4393,-2.6e-05,-0.0002,0.9041,-0.0023,small,3.4393,True,da=+3.44km[small]
61013,GEESAT 3-03,2024-10-28 12:53:09.337632+00:00,2024-10-30 11:27:47.497248+00:00,46.58,6964.149,586.01,0.001335,49.9949,350.6105,3.4348,0.000324,-0.001,-9.1186,0.0127,small,3.4348,True,da=+3.43km[small]
