metric,n_seeds,mean,std,ci95_lo,ci95_hi
precision,10,0.9957835816844434,0.0035995868366480036,0.9935525346487272,0.9980146287201596
recall,10,0.9694252873563218,0.010893630617615896,0.9626733451472401,0.9761772295654035
f1,10,0.9823858139162029,0.004774025876241171,0.9794268420222123,0.9853447858101936
auc_roc,10,0.9973765004855272,0.0010239068825847319,0.9967418764247926,0.9980111245462617
