split,n_samples,precision,recall,f1,auc_roc,pr_auc,n_pos,n_neg,threshold,seed,best_iteration,threshold_used
test@opt,2104,0.9953051643192489,0.9747126436781609,0.9849012775842044,0.996241124494673,0.9933879265423915,435,1669,0.5747155112909637,42,188,opt
test@opt,2104,0.9976470588235294,0.9747126436781609,0.986046511627907,0.9968182475568687,0.9947735952944522,435,1669,0.517004614358087,0,219,opt
test@opt,2104,1.0,0.9563218390804598,0.9776733254994124,0.9966171497834068,0.9950086111518203,435,1669,0.9566841409480739,1,208,opt
test@opt,2104,0.9883720930232558,0.9770114942528736,0.9826589595375722,0.996140575607942,0.9938911352487164,435,1669,0.6713086711374666,7,224,opt
test@opt,2104,0.9953271028037384,0.9793103448275862,0.9872537659327926,0.9982204224430624,0.9962366837060521,435,1669,0.7707595762516728,13,236,opt
test@opt,2104,0.9975786924939467,0.9471264367816092,0.9716981132075472,0.9969835333980703,0.9924597443418097,435,1669,0.9686256679247005,99,292,opt
test@opt,2104,1.0,0.9655172413793104,0.9824561403508771,0.9977369613575476,0.9948755501157971,435,1669,0.9779599237176322,123,183,opt
test@opt,2104,0.997624703087886,0.9655172413793104,0.9813084112149533,0.9981570628706018,0.9957830348861161,435,1669,0.8723564732798248,2024,245,opt
test@opt,2104,0.9929577464788732,0.9724137931034482,0.9825783972125436,0.9974435789894148,0.9943625625794624,435,1669,0.8922688126727685,314,246,opt
test@opt,2104,0.9930232558139535,0.9816091954022989,0.9872832369942196,0.9994063483536841,0.998179690836389,435,1669,0.4944432159665745,2718,240,opt
