norad,sat,win_start_tai,win_end_tai,da_km
20436,SPOT-2,2002-04-29T01:15:00,2002-04-29T02:07:00,
20436,SPOT-2,2002-06-07T00:25:00,2002-06-07T01:16:00,
20436,SPOT-2,2002-08-02T00:48:00,2002-08-02T01:40:00,
20436,SPOT-2,2002-09-18T00:45:00,2002-09-18T01:36:00,
20436,SPOT-2,2002-10-31T23:58:00,2002-11-01T00:49:00,
20436,SPOT-2,2002-12-11T00:29:00,2002-12-11T01:20:00,
20436,SPOT-2,2003-01-20T01:00:00,2003-01-20T01:51:00,
20436,SPOT-2,2003-03-24T00:47:00,2003-03-24T01:38:00,
20436,SPOT-2,2003-05-07T00:00:00,2003-05-07T00:51:00,
20436,SPOT-2,2003-05-22T13:12:00,2003-05-22T13:39:00,
20436,SPOT-2,2003-05-25T00:54:00,2003-05-25T01:46:00,
20436,SPOT-2,2003-06-21T00:35:00,2003-06-21T01:26:00,
20436,SPOT-2,2003-08-20T01:22:00,2003-08-20T02:13:00,
20436,SPOT-2,2003-11-06T01:23:00,2003-11-06T02:14:00,
20436,SPOT-2,2003-11-22T01:15:00,2003-11-22T02:06:00,
20436,SPOT-2,2003-12-29T01:03:00,2003-12-29T01:54:00,
20436,SPOT-2,2004-05-06T01:22:00,2004-05-06T02:13:00,
20436,SPOT-2,2004-06-26T00:00:00,2004-06-26T00:51:00,
20436,SPOT-2,2004-08-16T23:59:00,2004-08-17T00:50:00,
20436,SPOT-2,2004-09-16T00:22:00,2004-09-16T01:14:00,
20436,SPOT-2,2004-11-18T23:50:00,2004-11-19T00:41:00,
20436,SPOT-2,2005-02-10T12:52:00,2005-02-10T13:21:00,
20436,SPOT-2,2005-02-13T00:35:00,2005-02-13T01:27:00,
20436,SPOT-2,2005-03-08T12:53:00,2005-03-08T13:20:00,
20436,SPOT-2,2005-03-12T00:16:00,2005-03-12T01:07:00,
20436,SPOT-2,2005-06-13T00:30:00,2005-06-13T01:21:00,
20436,SPOT-2,2005-09-02T01:14:00,2005-09-02T02:05:00,
20436,SPOT-2,2006-01-23T00:25:00,2006-01-23T01:16:00,
20436,SPOT-2,2006-03-14T01:05:00,2006-03-14T01:56:00,
20436,SPOT-2,2006-05-13T00:10:00,2006-05-13T01:01:00,
20436,SPOT-2,2006-07-30T00:10:00,2006-07-30T01:01:00,
20436,SPOT-2,2006-09-23T00:53:00,2006-09-23T01:44:00,
20436,SPOT-2,2006-10-18T01:13:00,2006-10-18T02:04:00,
20436,SPOT-2,2006-12-20T01:00:00,2006-12-20T01:51:00,
20436,SPOT-2,2007-02-05T00:56:00,2007-02-05T01:47:00,
20436,SPOT-2,2007-05-27T00:20:00,2007-05-27T01:11:00,
20436,SPOT-2,2007-09-19T00:06:00,2007-09-19T00:57:00,
20436,SPOT-2,2008-04-13T00:21:00,2008-04-13T01:12:00,
20436,SPOT-2,2008-04-28T00:32:00,2008-04-28T01:23:00,
20436,SPOT-2,2008-10-29T12:46:00,2008-10-29T13:15:00,
20436,SPOT-2,2008-11-01T12:20:00,2008-11-01T13:11:00,
20436,SPOT-2,2008-12-11T01:00:00,2008-12-11T01:51:00,
20436,SPOT-2,2009-03-23T23:36:00,2009-03-24T00:27:00,
20436,SPOT-2,2009-05-19T11:20:00,2009-05-19T12:11:00,
20436,SPOT-2,2009-07-16T11:15:00,2009-07-16T12:16:00,
20436,SPOT-2,2009-07-20T20:42:00,2009-07-20T20:59:00,
20436,SPOT-2,2009-07-21T20:01:00,2009-07-21T20:18:00,
20436,SPOT-2,2009-07-22T21:10:00,2009-07-22T21:27:00,
20436,SPOT-2,2009-07-23T20:34:00,2009-07-23T20:51:00,
20436,SPOT-2,2009-07-24T21:34:00,2009-07-24T21:52:00,
20436,SPOT-2,2009-07-25T20:52:00,2009-07-25T21:08:00,
20436,SPOT-2,2009-07-27T20:57:00,2009-07-27T21:19:00,
20436,SPOT-2,2009-07-28T20:05:00,2009-07-28T20:28:00,
20436,SPOT-2,2009-07-29T20:41:00,2009-07-29T21:12:00,
22823,SPOT-3,1993-10-15T00:17:00,1993-10-15T01:11:00,
22823,SPOT-3,1993-12-07T23:38:00,1993-12-08T00:32:00,
22823,SPOT-3,1994-02-17T00:14:00,1994-02-17T01:08:00,
22823,SPOT-3,1994-05-04T00:53:00,1994-05-04T01:47:00,
22823,SPOT-3,1994-06-22T23:50:00,1994-06-23T00:44:00,
22823,SPOT-3,1994-12-08T00:59:00,1994-12-08T01:56:00,
22823,SPOT-3,1995-02-01T12:45:00,1995-02-01T12:57:00,
22823,SPOT-3,1995-02-03T01:03:00,1995-02-03T02:00:00,
22823,SPOT-3,1995-02-05T20:37:00,1995-02-06T02:00:00,
22823,SPOT-3,1995-03-23T00:40:00,1995-03-23T01:37:00,
22823,SPOT-3,1995-06-08T01:00:00,1995-06-08T01:57:00,
22823,SPOT-3,1995-07-02T05:35:00,1995-07-02T10:55:00,
22823,SPOT-3,1995-07-20T00:52:00,1995-07-20T01:49:00,
22823,SPOT-3,1995-07-31T00:00:00,1995-07-31T13:30:00,
22823,SPOT-3,1995-12-19T00:29:00,1995-12-19T01:26:00,
22823,SPOT-3,1996-02-07T10:00:00,1996-02-07T12:00:00,
22823,SPOT-3,1996-02-20T23:58:00,1996-02-21T00:55:00,
22823,SPOT-3,1996-03-28T00:06:00,1996-03-28T01:03:00,
22823,SPOT-3,1996-05-27T22:14:00,1996-05-28T05:10:00,
22823,SPOT-3,1996-07-18T00:51:00,1996-07-18T01:48:00,
22823,SPOT-3,1996-09-10T12:50:00,1996-09-10T13:10:00,
22823,SPOT-3,1996-09-12T01:16:00,1996-09-12T02:06:00,
22823,SPOT-3,1996-11-06T00:17:00,1996-11-06T01:13:00,
22823,SPOT-3,1996-11-09T12:40:00,1996-11-10T00:55:00,
25260,SPOT-4,1998-03-25T13:59:00,1998-03-25T14:53:00,
25260,SPOT-4,1998-03-30T08:36:00,1998-03-30T09:32:00,
25260,SPOT-4,1998-03-31T20:40:00,1998-03-31T21:37:00,
25260,SPOT-4,1998-04-15T23:53:00,1998-04-16T00:44:00,
25260,SPOT-4,1998-05-27T00:05:00,1998-05-27T00:56:00,
25260,SPOT-4,1998-09-01T00:41:00,1998-09-01T01:32:00,
25260,SPOT-4,1998-10-28T00:42:00,1998-10-28T01:36:00,
25260,SPOT-4,1998-12-14T00:41:00,1998-12-14T01:32:00,
25260,SPOT-4,1999-02-05T00:21:00,1999-02-05T01:12:00,
25260,SPOT-4,1999-04-08T00:29:00,1999-04-08T01:20:00,
25260,SPOT-4,1999-05-31T00:09:00,1999-05-31T01:00:00,
25260,SPOT-4,1999-07-17T00:04:00,1999-07-17T00:55:00,
25260,SPOT-4,1999-08-12T00:04:00,1999-08-12T00:55:00,
25260,SPOT-4,1999-08-19T01:10:00,1999-08-19T02:01:00,
25260,SPOT-4,1999-09-07T13:07:00,1999-09-07T13:31:00,
25260,SPOT-4,1999-09-09T12:28:00,1999-09-09T12:52:00,
25260,SPOT-4,1999-10-18T23:56:00,1999-10-19T00:47:00,
25260,SPOT-4,1999-11-21T01:03:00,1999-11-21T01:54:00,
25260,SPOT-4,1999-12-22T01:07:00,1999-12-22T01:58:00,
25260,SPOT-4,2000-01-11T01:23:00,2000-01-11T02:14:00,
25260,SPOT-4,2000-02-15T23:50:00,2000-02-16T00:41:00,
25260,SPOT-4,2000-03-22T23:58:00,2000-03-23T00:49:00,
25260,SPOT-4,2000-04-14T01:16:00,2000-04-14T02:07:00,
25260,SPOT-4,2000-05-23T00:23:00,2000-05-23T01:16:00,
25260,SPOT-4,2000-06-06T00:57:00,2000-06-06T01:47:00,
25260,SPOT-4,2000-07-04T00:17:00,2000-07-04T01:08:00,
25260,SPOT-4,2000-08-04T00:21:00,2000-08-04T01:12:00,
25260,SPOT-4,2000-09-14T00:33:00,2000-09-14T01:24:00,
25260,SPOT-4,2000-10-18T01:20:00,2000-10-18T02:11:00,
25260,SPOT-4,2000-11-27T23:50:00,2000-11-28T00:41:00,
25260,SPOT-4,2001-01-12T00:24:00,2001-01-12T01:15:00,
25260,SPOT-4,2001-01-24T12:56:00,2001-01-24T13:21:00,
25260,SPOT-4,2001-02-06T00:44:00,2001-02-06T01:35:00,
25260,SPOT-4,2001-04-04T00:48:00,2001-04-04T01:39:00,
25260,SPOT-4,2001-05-18T00:01:00,2001-05-18T00:52:00,
25260,SPOT-4,2001-07-08T23:59:00,2001-07-09T00:52:00,
25260,SPOT-4,2001-08-28T00:40:00,2001-08-28T01:31:00,
25260,SPOT-4,2001-10-05T00:09:00,2001-10-05T01:00:00,
25260,SPOT-4,2001-10-15T23:57:00,2001-10-16T00:48:00,
25260,SPOT-4,2001-10-30T00:28:00,2001-10-30T01:19:00,
25260,SPOT-4,2001-11-19T00:43:00,2001-11-19T01:35:00,
25260,SPOT-4,2001-12-27T23:52:00,2001-12-28T00:43:00,
25260,SPOT-4,2002-02-02T00:00:00,2002-02-02T00:51:00,
25260,SPOT-4,2002-03-05T01:45:00,2002-03-05T02:36:00,
25260,SPOT-4,2002-03-11T12:48:00,2002-03-11T13:18:00,
25260,SPOT-4,2002-03-31T00:03:00,2002-03-31T00:54:00,
25260,SPOT-4,2002-05-10T00:35:00,2002-05-10T01:26:00,
25260,SPOT-4,2002-07-12T00:23:00,2002-07-12T01:14:00,
25260,SPOT-4,2002-08-30T01:22:00,2002-08-30T02:13:00,
25260,SPOT-4,2002-10-12T00:52:00,2002-10-12T01:46:00,
25260,SPOT-4,2002-11-25T23:48:00,2002-11-26T00:39:00,
25260,SPOT-4,2002-12-30T00:35:00,2002-12-30T01:26:00,
25260,SPOT-4,2003-01-30T13:39:00,2003-01-30T14:09:00,
25260,SPOT-4,2003-02-25T00:39:00,2003-02-25T01:30:00,
25260,SPOT-4,2003-04-19T00:20:00,2003-04-19T01:11:00,
25260,SPOT-4,2003-06-02T01:15:00,2003-06-02T02:06:00,
25260,SPOT-4,2003-08-09T01:05:00,2003-08-09T01:59:00,
25260,SPOT-4,2003-10-26T01:08:00,2003-10-26T01:59:00,
25260,SPOT-4,2003-12-09T00:21:00,2003-12-09T01:12:00,
25260,SPOT-4,2004-04-11T00:36:00,2004-04-11T01:27:00,
25260,SPOT-4,2004-05-14T13:00:00,2004-05-14T13:32:00,
25260,SPOT-4,2004-05-24T23:50:00,2004-05-25T00:41:00,
25260,SPOT-4,2004-07-14T00:29:00,2004-07-14T01:20:00,
25260,SPOT-4,2004-10-10T00:38:00,2004-10-10T01:29:00,
25260,SPOT-4,2004-12-01T00:36:00,2004-12-01T01:29:00,
25260,SPOT-4,2005-04-05T00:34:00,2005-04-05T01:25:00,
25260,SPOT-4,2005-06-02T23:56:00,2005-06-03T00:50:00,
25260,SPOT-4,2005-09-08T00:33:00,2005-09-08T01:24:00,
25260,SPOT-4,2006-01-22T23:57:00,2006-01-23T00:48:00,
25260,SPOT-4,2006-01-30T12:22:00,2006-01-30T12:51:00,
25260,SPOT-4,2006-02-28T13:07:00,2006-02-28T13:32:00,
25260,SPOT-4,2006-03-23T01:03:00,2006-03-23T01:54:00,
25260,SPOT-4,2006-05-20T00:48:00,2006-05-20T01:39:00,
25260,SPOT-4,2006-08-08T23:50:00,2006-08-09T00:41:00,
25260,SPOT-4,2006-10-04T23:52:00,2006-10-05T00:46:00,
25260,SPOT-4,2006-10-09T00:17:00,2006-10-09T01:09:00,
25260,SPOT-4,2006-11-15T00:06:00,2006-11-15T00:57:00,
25260,SPOT-4,2007-01-11T00:10:00,2007-01-11T01:01:00,
25260,SPOT-4,2007-03-14T23:58:00,2007-03-15T00:49:00,
25260,SPOT-4,2007-06-10T00:22:00,2007-06-10T01:15:00,
25260,SPOT-4,2007-12-24T00:31:00,2007-12-24T01:25:00,
25260,SPOT-4,2008-01-29T00:41:00,2008-01-29T01:32:00,
25260,SPOT-4,2008-02-07T12:26:00,2008-02-07T12:57:00,
25260,SPOT-4,2008-04-02T23:49:00,2008-04-03T00:40:00,
25260,SPOT-4,2008-06-25T23:33:00,2008-06-26T00:24:00,
25260,SPOT-4,2008-08-23T00:58:00,2008-08-23T01:49:00,
25260,SPOT-4,2008-08-29T00:43:00,2008-08-29T01:34:00,
25260,SPOT-4,2008-11-26T13:28:00,2008-11-26T14:00:00,
25260,SPOT-4,2009-07-14T23:45:00,2009-07-15T00:36:00,
25260,SPOT-4,2009-10-15T23:55:00,2009-10-16T00:46:00,
25260,SPOT-4,2009-12-08T00:50:00,2009-12-08T01:42:00,
25260,SPOT-4,2009-12-08T12:34:00,2009-12-08T13:26:00,
25260,SPOT-4,2009-12-09T00:29:00,2009-12-09T01:20:00,
25260,SPOT-4,2010-01-30T23:33:00,2010-01-31T00:25:00,
25260,SPOT-4,2010-01-31T23:08:00,2010-02-01T00:00:00,
25260,SPOT-4,2010-02-02T17:25:00,2010-02-02T18:16:00,
25260,SPOT-4,2010-03-05T02:20:00,2010-03-05T03:11:00,
25260,SPOT-4,2010-03-12T01:44:00,2010-03-12T02:36:00,
25260,SPOT-4,2010-03-15T02:32:00,2010-03-15T03:23:00,
25260,SPOT-4,2010-04-02T01:35:00,2010-04-02T02:26:00,
25260,SPOT-4,2010-06-12T00:33:00,2010-06-12T01:24:00,
25260,SPOT-4,2010-11-15T00:28:00,2010-11-15T01:19:00,
25260,SPOT-4,2010-12-12T00:08:00,2010-12-12T00:59:00,
25260,SPOT-4,2011-02-02T00:05:00,2011-02-02T00:56:00,
25260,SPOT-4,2011-04-24T00:45:00,2011-04-24T01:36:00,
25260,SPOT-4,2011-07-14T23:23:00,2011-07-15T00:14:00,
25260,SPOT-4,2011-10-25T23:37:00,2011-10-26T00:28:00,
25260,SPOT-4,2011-12-16T23:34:00,2011-12-17T00:25:00,
25260,SPOT-4,2012-03-29T13:02:00,2012-03-29T13:56:00,
25260,SPOT-4,2012-04-29T09:58:00,2012-04-29T10:49:00,
25260,SPOT-4,2012-06-20T23:26:00,2012-06-21T00:17:00,
25260,SPOT-4,2012-09-23T22:52:00,2012-09-23T23:43:00,
25260,SPOT-4,2012-11-23T23:14:00,2012-11-24T00:05:00,
25260,SPOT-4,2012-12-18T18:05:00,2012-12-18T18:56:00,
25260,SPOT-4,2012-12-21T22:33:00,2012-12-21T23:24:00,
25260,SPOT-4,2013-01-03T08:10:00,2013-01-03T09:01:00,
25260,SPOT-4,2013-01-17T00:12:00,2013-01-17T01:04:00,
25260,SPOT-4,2013-01-29T21:09:00,2013-01-29T22:04:00,
25260,SPOT-4,2013-02-03T23:20:00,2013-02-04T00:11:00,
25260,SPOT-4,2013-04-11T22:34:00,2013-04-11T23:25:00,
25260,SPOT-4,2013-06-04T22:50:00,2013-06-04T23:41:00,
25260,SPOT-4,2013-06-24T06:10:00,2013-06-24T07:17:00,
27421,SPOT-5,2002-05-07T14:15:00,2002-05-07T16:00:00,
27421,SPOT-5,2002-05-15T17:15:00,2002-05-15T19:00:00,
27421,SPOT-5,2002-06-05T13:21:00,2002-06-05T14:15:00,
27421,SPOT-5,2002-08-20T17:42:00,2002-08-20T18:35:00,
27421,SPOT-5,2002-09-02T16:52:00,2002-09-02T17:45:00,
27421,SPOT-5,2002-09-13T16:40:00,2002-09-13T17:33:00,
27421,SPOT-5,2002-09-23T16:48:00,2002-09-23T17:41:00,
27421,SPOT-5,2002-10-23T17:12:00,2002-10-23T18:05:00,
27421,SPOT-5,2002-11-21T17:55:00,2002-11-21T18:48:00,
27421,SPOT-5,2003-01-03T17:28:00,2003-01-03T18:21:00,
27421,SPOT-5,2003-03-16T17:43:00,2003-03-16T18:37:00,
27421,SPOT-5,2003-06-02T17:01:00,2003-06-02T18:46:00,
27421,SPOT-5,2003-07-15T17:16:00,2003-07-15T18:09:00,
27421,SPOT-5,2003-10-25T17:54:00,2003-10-25T18:47:00,
27421,SPOT-5,2003-11-27T17:18:00,2003-11-27T18:12:00,
27421,SPOT-5,2003-12-18T17:15:00,2003-12-18T18:08:00,
27421,SPOT-5,2004-01-26T12:18:00,2004-01-26T13:13:00,
27421,SPOT-5,2004-01-29T17:06:00,2004-01-29T17:59:00,
27421,SPOT-5,2004-03-01T16:51:00,2004-03-01T17:44:00,
27421,SPOT-5,2004-04-15T17:26:00,2004-04-15T18:19:00,
27421,SPOT-5,2004-05-17T17:11:00,2004-05-17T18:04:00,
27421,SPOT-5,2004-07-05T18:09:00,2004-07-05T19:03:00,
27421,SPOT-5,2004-09-14T17:03:00,2004-09-14T17:56:00,
27421,SPOT-5,2004-12-08T17:27:00,2004-12-08T19:13:00,
27421,SPOT-5,2005-01-13T16:36:00,2005-01-13T17:29:00,
27421,SPOT-5,2005-04-02T17:57:00,2005-04-02T18:50:00,
27421,SPOT-5,2005-07-26T17:01:00,2005-07-26T18:47:00,
27421,SPOT-5,2005-11-23T17:34:00,2005-11-23T18:27:00,
27421,SPOT-5,2005-12-06T12:38:00,2005-12-06T13:33:00,
27421,SPOT-5,2005-12-16T12:46:00,2005-12-16T13:40:00,
27421,SPOT-5,2006-01-26T17:03:00,2006-01-26T17:56:00,
27421,SPOT-5,2006-05-16T16:48:00,2006-05-16T17:41:00,
27421,SPOT-5,2006-08-18T16:49:00,2006-08-18T18:34:00,
27421,SPOT-5,2006-10-05T17:58:00,2006-10-05T18:51:00,
27421,SPOT-5,2006-12-26T16:40:00,2006-12-26T17:33:00,
27421,SPOT-5,2007-03-07T16:32:00,2007-03-07T18:18:00,
27421,SPOT-5,2007-06-13T17:28:00,2007-06-13T18:22:00,
27421,SPOT-5,2007-07-21T12:04:00,2007-07-21T12:06:00,
27421,SPOT-5,2007-10-03T12:27:00,2007-10-03T13:22:00,
27421,SPOT-5,2008-03-18T18:00:00,2008-03-18T18:54:00,
27421,SPOT-5,2008-04-16T17:10:00,2008-04-16T18:56:00,
27421,SPOT-5,2008-05-27T17:13:00,2008-05-27T18:06:00,
27421,SPOT-5,2008-06-25T19:37:00,2008-06-25T20:30:00,
27421,SPOT-5,2008-08-20T16:36:00,2008-08-20T17:29:00,
27421,SPOT-5,2008-09-30T16:48:00,2008-09-30T17:41:00,
27421,SPOT-5,2008-10-31T16:50:00,2008-10-31T17:43:00,
27421,SPOT-5,2008-12-03T12:09:00,2008-12-03T13:04:00,
27421,SPOT-5,2008-12-10T13:16:00,2008-12-10T14:10:00,
27421,SPOT-5,2008-12-17T12:41:00,2008-12-17T13:35:00,
27421,SPOT-5,2009-04-26T16:50:00,2009-04-26T17:43:00,
27421,SPOT-5,2009-06-17T16:09:00,2009-06-17T17:54:00,
27421,SPOT-5,2009-09-11T17:40:00,2009-09-11T18:33:00,
27421,SPOT-5,2009-10-09T17:01:00,2009-10-09T17:54:00,
27421,SPOT-5,2009-12-06T16:46:00,2009-12-06T17:40:00,
27421,SPOT-5,2010-01-04T17:29:00,2010-01-04T18:22:00,
27421,SPOT-5,2010-03-27T17:54:00,2010-03-27T18:47:00,
27421,SPOT-5,2010-04-21T03:42:00,2010-04-21T03:44:00,
27421,SPOT-5,2010-04-29T17:19:00,2010-04-29T18:13:00,
27421,SPOT-5,2010-06-28T17:24:00,2010-06-28T19:10:00,
27421,SPOT-5,2010-10-26T17:59:00,2010-10-26T18:52:00,
27421,SPOT-5,2010-12-01T18:07:00,2010-12-01T19:00:00,
27421,SPOT-5,2011-01-24T17:28:00,2011-01-24T18:21:00,
27421,SPOT-5,2011-02-05T00:13:00,2011-02-05T00:15:00,
27421,SPOT-5,2011-02-10T17:00:00,2011-02-10T17:54:00,
27421,SPOT-5,2011-04-17T17:31:00,2011-04-17T18:24:00,
27421,SPOT-5,2011-06-23T17:00:00,2011-06-23T18:45:00,
27421,SPOT-5,2011-09-20T17:29:00,2011-09-20T18:22:00,
27421,SPOT-5,2011-11-22T17:16:00,2011-11-22T18:10:00,
27421,SPOT-5,2012-02-04T16:51:00,2012-02-04T17:45:00,
27421,SPOT-5,2012-03-28T17:38:00,2012-03-28T18:31:00,
27421,SPOT-5,2012-05-19T16:29:00,2012-05-19T17:22:00,
27421,SPOT-5,2012-07-19T16:13:00,2012-07-19T17:58:00,
27421,SPOT-5,2012-09-13T17:16:00,2012-09-13T18:10:00,
27421,SPOT-5,2012-11-04T17:15:00,2012-11-04T18:08:00,
27421,SPOT-5,2012-11-18T01:51:00,2012-11-18T01:54:00,
27421,SPOT-5,2012-11-30T17:14:00,2012-11-30T18:07:00,
27421,SPOT-5,2013-02-18T16:31:00,2013-02-18T17:25:00,
27421,SPOT-5,2013-05-05T17:07:00,2013-05-05T18:00:00,
27421,SPOT-5,2013-06-23T23:08:00,2013-06-23T23:11:00,
27421,SPOT-5,2013-06-28T16:34:00,2013-06-28T18:20:00,
27421,SPOT-5,2013-08-15T17:41:00,2013-08-15T18:34:00,
27421,SPOT-5,2013-10-24T15:18:00,2013-10-24T15:20:00,
27421,SPOT-5,2013-12-18T01:59:00,2013-12-18T02:52:00,
27421,SPOT-5,2013-12-19T01:59:00,2013-12-19T02:52:00,
27421,SPOT-5,2014-01-14T13:31:00,2014-01-14T13:34:00,
27421,SPOT-5,2014-01-16T01:01:00,2014-01-16T01:04:00,
27421,SPOT-5,2014-02-10T16:48:00,2014-02-10T17:41:00,
27421,SPOT-5,2014-03-11T11:30:00,2014-03-11T11:33:00,
27421,SPOT-5,2014-03-13T12:32:00,2014-03-13T12:35:00,
27421,SPOT-5,2014-05-16T16:15:00,2014-05-16T17:08:00,
27421,SPOT-5,2014-06-02T03:12:00,2014-06-02T03:15:00,
27421,SPOT-5,2014-06-05T16:29:00,2014-06-05T17:22:00,
27421,SPOT-5,2014-07-02T06:28:00,2014-07-02T06:31:00,
27421,SPOT-5,2014-07-07T15:29:00,2014-07-07T17:14:00,
