sat,win_start_tai,n_burns,clean,da_obs_m,di_obs_mdeg,dv_along_truth,dv_along_rec,dv_cross_truth,dv_cross_rec,dv_mag_truth
SWOT,2023-01-13T01:39:00,1,0,-1365.6039690504258,1.0999999999938836,-0.116346,-0.700057214112448,0.001669,0.14247179572562121,0.11636
SWOT,2023-01-13T04:13:00,1,0,-1365.6039690504258,1.0999999999938836,-0.116533,-0.700057214112448,0.001268,0.14247179572562121,0.116544
SWOT,2023-01-15T02:54:00,1,0,-281.466779024413,-6.449999999986744,-0.012322,-0.14429309065124402,-0.000224,-0.8354089753282367,0.012324
SWOT,2023-01-15T06:18:00,1,0,-250.28687511166936,-9.899999999987585,-0.012312,-0.12830921158589662,0.000209,-1.282256982725902,0.012317
SWOT,2023-01-27T04:59:00,1,1,159.9240295981872,1.8999999999920192,0.019203,0.08198710695534425,-0.000425,0.2460920051647077,0.019208
SWOT,2023-01-31T00:52:00,1,0,-153.0163898059982,5.200000000002092,-0.035668,-0.07844524048634798,-0.000223,0.6735133123376345,0.035669
SWOT,2023-01-31T06:49:00,1,0,-181.19431260220153,3.7499999999965894,0.032691,-0.09289223741722502,-0.0003,0.4857090322531453,0.032693
SWOT,2023-02-08T00:36:00,1,0,-154.49825812174822,-0.950000000003115,-0.004108,-0.0792044961589387,0.000328,-0.12304547470570834,0.004122
SWOT,2023-02-08T07:25:00,1,0,-147.25785790324153,-1.3999999999896318,0.004128,-0.07549204323509213,-2.3e-05,-0.1813296795898926,0.004128
SWOT,2023-02-10T00:16:00,1,0,-354.6482107549309,-4.0000000000048885,0.003754,-0.18181404171415932,0.00024,-0.5180875612281044,0.003763
SWOT,2023-02-10T07:05:00,1,0,-275.82994010299444,-4.400000000003956,-0.004031,-0.14140704708236745,8.4e-05,-0.569896317350731,0.004032
SWOT,2023-02-14T06:33:00,1,0,-71.05949135620904,1.0000000000047748,-0.007914,-0.03642992663667543,-0.000275,0.1295225418562619,0.00792
SWOT,2023-02-17T05:59:00,1,0,-94.54066947273532,-2.0499999999969987,0.024246,-0.04846800709121194,0.000147,-0.2655212693407687,0.02427
SWOT,2023-03-24T06:13:00,1,1,18.90977486709744,0.39999999999906777,0.01443,0.00969386752318145,-0.00013,0.05180800353665621,0.014455
SWOT,2023-03-30T08:09:00,1,0,-6.21199252873339,0.34999999999740794,-0.060031,-0.0031844967620500804,0.000645,0.04533197403814123,0.060035
SWOT,2023-03-30T18:22:00,1,0,-5.643842792778742,0.34999999999740794,0.060954,-0.0028932436534411495,0.000817,0.045331981487079134,0.06096
SWOT,2023-04-05T19:39:00,1,1,24.68030343607097,0.39999999999906777,0.01712,0.012652046843606822,0.000203,0.05180798660851804,0.017121
SWOT,2023-04-21T20:18:00,1,1,11.342453685756482,-0.2000000000066393,0.008973,0.005814563685780213,0.001057,-0.025903989740714284,0.009035
SWOT,2023-05-05T19:41:00,1,1,9.451452680877992,0.19999999999242846,0.008372,0.004845172368863733,0.001093,0.02590400068337033,0.008451
SWOT,2023-05-13T20:50:00,1,0,-5.22626658766967,0.39999999999906777,-0.010454,-0.0026791834224631846,-0.000417,0.05180801015112109,0.010463
SWOT,2023-05-14T00:15:00,1,0,-5.068828168077744,0.34999999999740794,0.010605,-0.0025984745126645063,-0.00018,0.045332009021333344,0.010607
SWOT,2023-05-17T21:14:00,1,1,26.54898215587309,0.6999999999948159,0.016325,0.013609995208038482,0.000896,0.09066396267389878,0.01635
SWOT,2023-06-02T03:04:00,1,1,11.996156204986619,0.5500000000040473,0.008929,0.006149680249886717,0.000772,0.0712359885264709,0.008965
SWOT,2023-06-16T19:43:00,1,1,29.451359117047105,0.10000000000331966,0.017425,0.015097849620256032,0.000312,0.012951991261463812,0.017429
SWOT,2023-08-25T21:02:00,1,1,15.950005089507613,-0.10000000000331966,0.008681,0.00812039274067711,-0.000605,-0.012922266523353597,0.008702
SWOT,2023-10-06T17:32:00,1,1,26.983747343365394,0.0,0.015442,0.013737876458882664,0.000142,0.0,0.015442
SWOT,2023-10-27T14:25:00,1,1,15.056777803692967,0.2999999999957481,0.008595,0.007665637947815996,0.000184,0.03876680116485595,0.008598
SWOT,2023-11-17T11:13:00,1,1,17.507961394585436,0.0,0.010037,0.008913601031759784,-0.000681,0.0,0.010062
SWOT,2023-12-15T21:47:00,1,1,23.21353381194058,-0.2999999999957481,0.012823,0.011818414719898418,-0.000442,-0.03876685190629121,0.012832
SWOT,2023-12-23T03:07:00,1,0,-3.759873244234768,0.2000000000066393,0.062503,-0.0019142103572822597,-0.000426,0.025844537996571635,0.062504
SWOT,2023-12-23T09:58:00,1,0,-3.643891772298957,0.2000000000066393,-0.062623,-0.0018551621686656917,-0.000481,0.025844537045976466,0.062624
SWOT,2024-01-12T21:19:00,1,1,18.641807207131933,0.2999999999957481,0.01144,0.009490829758023542,-0.001097,0.03876679846073427,0.011493
SWOT,2024-02-09T18:09:00,1,1,17.97707529112813,-0.4500000000007276,0.010592,0.009152421818283874,7.3e-05,-0.058150234259901165,0.010597
SWOT,2024-03-15T21:29:00,1,1,21.575925285105768,0.5000000000023874,0.012162,0.010984685987650233,0.000328,0.06461143222736196,0.012168
SWOT,2024-04-05T17:59:00,1,1,22.161059038808162,0.649999999993156,0.012008,0.01128257755812645,0.000275,0.08399483609906591,0.012013
SWOT,2024-05-03T21:33:00,1,1,27.991242507596326,-0.49999999998817657,0.015715,0.014250843394283792,0.000164,-0.06461144083930993,0.015717
SWOT,2024-05-24T19:45:00,1,1,26.622005103490665,-0.19999999999242846,0.015282,0.01355369211435266,-0.000323,-0.02584454584555562,0.015286
SWOT,2024-06-07T08:40:00,1,0,-5.357643583920435,0.25000000000829914,-0.099533,-0.0027276620358757594,-0.00033,0.03230567949827834,0.099535
SWOT,2024-06-07T18:06:00,1,0,-5.16030209382734,0.30000000000995897,0.09857,-0.002627192327094534,-0.000136,0.038766815397934015,0.098571
SWOT,2024-07-05T19:21:00,1,1,25.30463593211607,-0.0999999999891088,0.013986,0.012883008327567816,0.000133,-0.012922276299704298,0.013987
SWOT,2024-08-02T21:04:00,1,1,19.297874448056973,-0.10000000000331966,0.011571,0.009824862998023919,0.000953,-0.012922274638778992,0.011614
SWOT,2024-08-23T21:08:00,1,1,34.66969302826328,0.5000000000023874,0.019352,0.017650905640843775,-0.00011,0.06461137172296719,0.019352
SWOT,2024-09-13T21:04:00,1,1,34.80994951496541,0.0,0.020243,0.017722298308514954,0.000747,0.0,0.020269
SWOT,2024-10-11T14:10:00,1,1,23.92842219433078,-0.649999999993156,0.015533,0.01218238797663558,0.000726,-0.08399487135252817,0.015562
SWOT,2024-11-01T07:18:00,1,1,29.331070752050437,0.39999999999906777,0.020388,0.014932936225173022,-0.000556,0.05168910911744367,0.020397
SWOT,2024-11-15T19:08:00,1,1,17.36081518811261,0.5500000000040473,0.010662,0.008838687268745213,-0.000901,0.071072544740585,0.010701
SWOT,2024-12-06T05:15:00,1,1,17.19633701213752,0.10000000000331966,0.010702,0.0087549306646516,0.00022,0.012922272026961895,0.010706
SWOT,2024-12-20T21:59:00,1,1,16.89170001372986,-0.10000000000331966,0.009652,0.008599851819158821,-0.000109,-0.012922280406957927,0.009653
SWOT,2024-12-29T14:25:00,1,0,-4.964682668287423,-0.2999999999957481,-0.024915,-0.002527601944810464,6e-05,-0.03876682866750558,0.024915
SWOT,2024-12-29T17:51:00,1,0,-4.964682668287423,-0.2999999999957481,0.025396,-0.002527601944810464,0.000689,-0.03876682866750558,0.025406
SWOT,2025-01-10T21:59:00,1,1,23.971720209374325,0.19999999999242846,0.013441,0.012204398953819829,-0.000371,0.025844552635087944,0.013446
SWOT,2025-02-07T20:48:00,1,1,28.250901648789295,0.2000000000066393,0.015761,0.014382961483083599,-0.000219,0.025844528998214877,0.015764
SWOT,2025-03-02T07:18:00,1,0,-3.7096518080943497,-0.5500000000040473,-0.022784,-0.001888648315490916,4.1e-05,-0.07107256074685436,0.022785
SWOT,2025-03-02T10:44:00,1,0,-3.7096518080943497,-0.5500000000040473,0.022811,-0.001888648315490916,1e-05,-0.07107256074685436,0.022812
SWOT,2025-03-07T20:48:00,1,0,24.991332331410376,-0.7000000000090267,0.014415,0.012723525980764965,-0.000407,-0.0904559949978422,0.014422
SWOT,2025-03-09T12:38:00,1,0,24.307558588589018,-0.5999999999914962,-0.085781,0.012375344955543236,0.00026,-0.0775335850897799,0.085782
SWOT,2025-03-09T16:04:00,1,0,24.397573269197892,-0.7999999999981355,0.085681,0.012421172788048013,-0.000713,-0.10337811345426409,0.085684
SWOT,2025-04-04T03:31:00,1,1,28.443056945434364,0.39999999999906777,0.016859,0.014480868063306934,0.000199,0.05168915010072011,0.016867
SWOT,2025-05-09T18:48:00,1,1,24.67280766722979,-0.10000000000331966,0.01367,0.012561301851396475,-7.3e-05,-0.01292226523743438,0.01367
SWOT,2025-06-20T11:57:00,1,0,16.360256230655068,0.24999999999408828,0.185478,0.008329288109932888,0.000634,0.03230570536090909,0.18548
SWOT,2025-06-20T16:14:00,1,0,16.19753573777416,0.2999999999957481,-0.176357,0.008246444305564116,0.00027,0.03876684643345817,0.176357
SWOT,2025-08-08T03:07:00,1,1,16.107516568808933,-0.5000000000023874,0.009042,0.008200588976349194,5.4e-05,-0.0646113450126659,0.009043
SWOT,2025-09-19T21:51:00,1,1,21.77327280242025,0.7499999999964757,0.011845,0.01108513394640551,-0.000369,0.09691707501510642,0.011851
SWOT,2025-10-10T20:05:00,1,1,17.239650897863612,0.10000000000331966,0.009972,0.008776998943971173,0.000355,0.012922280117780566,0.00998
SWOT,2025-11-14T15:02:00,1,1,18.091287100105546,-0.30000000000995897,0.010926,0.009210594746180103,0.000303,-0.038766859088334486,0.01093
SWOT,2025-12-12T21:48:00,1,1,24.52393458224833,0.19999999999242846,0.013627,0.012485569358512295,0.000122,0.025844572603742233,0.013628
SWOT,2026-01-16T21:30:00,1,1,14.80056864238577,-0.30000000000995897,0.00851,0.007535223434886597,-0.000623,-0.038766844940186444,0.008534
SWOT,2026-02-13T21:33:00,1,1,23.92500936639408,0.4500000000007276,0.012748,0.012180637282694707,-0.000892,0.05815027460711136,0.012779
SWOT,2026-04-02T21:26:00,1,1,18.008222056778322,-0.5000000000023874,0.010398,0.009168266273929,0.000495,-0.06461134116721533,0.010417
SWOT,2026-05-21T16:13:00,1,0,5.056419391621603,0.2000000000066393,0.16257,0.002574310010614735,0.000365,0.02584456377336888,0.162571
SWOT,2026-05-21T20:30:00,1,0,5.271070345770568,0.2000000000066393,-0.158988,0.0026835925098918625,0.000179,0.02584456380413242,0.158988
SWOT,2026-06-04T19:38:00,1,1,16.259853206975095,-0.10000000000331966,0.009191,0.008278170690600307,-0.000478,-0.012922281878993549,0.009205
CryoSat-2,2010-04-15T17:47:00,1,1,4.09543108617072,-1.300000000000523,0.005494,0.0021624369576969536,6.6e-05,-0.1700426722137424,0.005495
CryoSat-2,2010-05-03T17:55:00,2,0,-1.4954675525586936,2.7000000000043656,-0.039688,-0.0007896249056125359,0.0,0.35316555290126617,0.039688
CryoSat-2,2010-05-18T00:42:00,2,0,529.1260673748184,0.9000000000014552,0.16702899999999998,0.2794209328555078,0.0,0.1177269052712773,0.16702899999999998
CryoSat-2,2010-05-27T00:27:00,2,0,-130.78609284639242,-0.6999999999948159,-0.16825099999999998,-0.06904966260368779,0.0,-0.09155835820555278,0.16825099999999998
CryoSat-2,2010-06-15T03:02:00,1,0,41.46103635139298,1.8999999999920192,0.068179,0.02189302614830815,0.0,0.2485280657432284,0.068179
CryoSat-2,2010-06-18T01:14:00,1,0,92.93058587536507,0.0999999999891088,0.003321,0.049069654531787445,0.0,0.013080310892964714,0.003321
CryoSat-2,2010-07-20T12:37:00,1,1,-2.5689125041026273,-0.5499999999898364,-0.000207,-0.0013564480102412982,0.0,-0.07194168313277068,0.000207
CryoSat-2,2010-10-02T03:01:00,2,1,-0.02117668918799609,0.05000000000165983,0.002551000000000001,-1.1181844663432812e-05,0.0,0.006540160803813122,0.042054999999999995
CryoSat-2,2010-10-28T06:33:00,1,1,2.083459367895557,-0.39999999999906777,0.00306,0.0011001221873027872,0.0,-0.0523213063529941,0.00306
CryoSat-2,2010-12-16T03:07:00,1,1,2.6617278044795967,-0.19999999999242846,0.01365,0.001405469058861179,0.00014,-0.02616068850249229,0.013652
CryoSat-2,2011-01-21T10:05:00,1,1,5.020490196329774,0.9000000000014552,0.01363,0.0026509573135641844,0.000135,0.11772300460722934,0.013632
CryoSat-2,2011-03-11T08:19:00,1,1,1.521462685559527,0.05000000000165983,0.011489,0.0008033729413596278,0.000116,0.00654016332438124,0.01149
CryoSat-2,2011-04-14T09:34:00,1,1,6.955726457817946,0.0,0.021217,0.0036728127291956853,0.00021,0.0,0.02122
CryoSat-2,2011-06-01T06:13:00,1,1,0.7525879900640575,-0.6500000000073669,0.005039,0.0003973861026324486,5e-05,-0.08502209038916367,0.00504
CryoSat-2,2011-07-28T04:25:00,1,1,6.014153267642541,-1.2499999999988631,0.01627,0.0031756423898465893,0.000159,-0.16350423424026345,0.016272
CryoSat-2,2011-09-01T11:13:00,1,1,4.916244045489293,1.6999999999995907,0.014969,0.0025959098040963884,0.00015,0.22236559923992144,0.014971
CryoSat-2,2011-09-29T08:29:00,1,1,-0.026063312361657154,0.7500000000106866,0.016209,-1.3762124919266066e-05,0.000162,0.0981024492783796,0.016211
CryoSat-2,2011-10-21T09:21:00,1,1,-1.4595596794606536,0.3500000000116188,0.020884,-0.0007706866873122113,0.000209,0.045781146969701994,0.020887
CryoSat-2,2011-11-09T12:47:00,1,1,13.292479956362513,2.600000000001046,0.030523,0.007018776166382919,0.000307,0.3400883581961816,0.030527
CryoSat-2,2011-11-29T07:07:00,1,1,7.340205134823918,-0.649999999993156,0.025352,0.0038758163618048793,0.000255,-0.08502206448953786,0.025355
CryoSat-2,2011-12-21T09:39:00,1,1,2.583569042144518,0.0999999999891088,0.014174,0.0013641887617345707,0.000143,0.013080311598545028,0.014175
CryoSat-2,2012-02-16T06:47:00,1,1,6.817244064222905,0.19999999999242846,0.014019,0.0035996941461685244,0.000143,0.026160670661896843,0.014021
CryoSat-2,2012-03-15T14:02:00,1,1,5.584112462202029,0.04999999998744897,0.013973,0.0029485657179341954,0.00014,0.006540167143153503,0.013974
CryoSat-2,2012-03-22T14:37:00,1,1,2.4825678210618207,-0.6000000000057071,0.006856,0.0013108590635345617,7e-05,-0.07848189874852504,0.006857
CryoSat-2,2012-04-19T11:57:00,1,1,1.9580239086280926,-0.2000000000066393,0.013919,0.0010338900394558715,0.00014,-0.02616066266220167,0.01392
CryoSat-2,2012-05-15T11:00:00,1,1,4.823384010705922,0.10000000000331966,0.014797,0.002546881081921365,0.000148,0.013080336022443226,0.014799
