NORAD_ID,COSPAR_ID,NAME,MEAN_ALT_KM
5680,1971-110C,OPS 7898 (P/L 2),989.7
5681,1971-110D,OPS 7898 (P/L 3),990.1
5682,1971-110E,OPS 7898 (P/L 4),990.1
5685,1971-111B,SL-8 R/B,981.2
5705,1971-114A,COSMOS 468,776.5
5707,1971-114B,SL-8 R/B,764.1
5731,1971-120A,METEOR 1-10,860.1
5732,1971-120B,SL-3 R/B,878.8
5847,1972-009B,SL-8 R/B,973.0
5903,1972-018A,OPS 5058 (DMSP 5B F2),814.1
5904,1972-018B,THOR BURNER 2 R/B,817.4
5917,1972-022A,METEOR 1-11,869.1
5918,1972-022B,SL-3 R/B,879.2
6020,1972-035B,SL-8 R/B,974.1
6059,1972-043A,COSMOS 494,777.2
6061,1972-043B,SL-8 R/B,758.6
6079,1972-049A,METEOR 1-12,888.6
6080,1972-049B,SL-3 R/B,896.5
6126,1972-058A,LANDSAT 1 (ERTS 1),908.5
6127,1972-058B,DELTA 1 R/B,614.5
6148,1972-062A,COSMOS 514,963.8
6149,1972-062B,SL-8 R/B,959.6
6153,1972-065A,OAO 3 (COPERNICUS),700.3
6155,1972-065B,ATLAS CENTAUR R/B,643.6
6173,1972-069A,TRIAD 1,724.5
6180,1972-069B,SCOUT B-1 R/B,651.3
6217,1972-076B,OPS 8180 (STP RADSAT),665.3
6218,1972-076C,ATLAS F BURNER 2 R/B,711.0
6256,1972-085A,METEOR 1-13,868.4
6257,1972-085B,SL-3 R/B,877.2
6275,1972-089A,OPS 7323 (DMSP 5B F3),799.2
6276,1972-089B,THOR BURNER 2 R/B,825.3
6323,1972-104A,COSMOS 540,774.0
6324,1972-104B,SL-8 R/B,748.2
6350,1973-005A,COSMOS 546,483.6
6392,1973-015A,METEOR 1-14,873.1
6393,1973-015B,SL-3 R/B,882.2
6659,1973-034A,METEOR 1-15,864.7
6660,1973-034B,SL-3 R/B,879.3
6708,1973-042B,SL-8 R/B,990.4
6787,1973-054A,OPS 8364 (DMSP 4),786.7
6788,1973-054B,THOR BURNER 2 R/B,809.1
6829,1973-065B,SL-8 R/B,980.1
6965,1973-098A,COSMOS 614,765.2
6966,1973-098B,SL-8 R/B,749.7
7003,1973-107A,AUREOLE 2,391.4
7005,1973-108A,COSMOS 626,951.5
7009,1973-109B,SL-8 R/B,981.5
7209,1974-011A,METEOR 1-16,851.1
7210,1974-011B,SL-3 R/B,854.2
7213,1974-013A,MIRANDA (X-4),745.8
7218,1974-015A,OPS 8579 (DMSP 5B F5),791.7
7219,1974-015B,THOR BURNER 2A R/B,811.6
7228,1974-013B,SCOUT D-1 R/B,750.0
7244,1974-020B,OPS 4547,792.7
7274,1974-025A,METEOR 1-17,870.3
7275,1974-025B,SL-3 R/B,876.5
7291,1974-029A,COSMOS 651,925.0
7337,1974-044A,COSMOS 660,678.0
7350,1974-048B,SL-8 R/B,978.0
7363,1974-052A,METEOR 1-18,900.1
7364,1974-052B,SL-3 R/B,878.7
7411,1974-063A,OPS 6983 (DMSP 5C F1),800.1
7412,1974-063B,THOR BURNER 2A R/B,819.9
7433,1974-071A,COSMOS 676,787.2
7434,1974-071B,SL-8 R/B,771.6
7490,1974-083A,METEOR 1-19,864.6
7493,1974-083B,SL-3 R/B,873.3
7574,1974-099A,METEOR 1-20,859.5
7575,1974-099B,SL-3 R/B,861.2
7594,1974-105B,SL-8 R/B,973.8
7615,1975-004A,LANDSAT 2,911.5
7714,1975-023A,METEOR 1-21,871.8
7715,1975-023B,SL-3 R/B,876.2
7718,1975-024A,COSMOS 723,937.0
7727,1975-025A,COSMOS 724,904.0
7734,1975-027A,GEOS 3,835.3
7735,1975-027B,DELTA 1 R/B,813.7
7736,1975-028A,COSMOS 726,976.5
7737,1975-028B,SL-8 R/B,968.2
7816,1975-043A,OPS 6226,814.9
7817,1975-043B,THOR BURNER 2 R/B,833.2
8026,1975-064A,METEOR 2-1,863.8
8027,1975-064B,SL-3 R/B,874.2
8293,1975-087A,METEOR 1-22,856.6
8294,1975-087B,SL-3 R/B,869.6
8343,1975-094A,COSMOS 773,779.1
8344,1975-094B,SL-8 R/B,763.7
8421,1975-103B,SL-8 R/B,981.4
8458,1975-112A,COSMOS 783,786.3
8459,1975-112B,SL-8 R/B,771.6
8519,1975-124A,METEOR 1-23,861.9
8520,1975-124B,SL-3 R/B,868.5
8646,1976-011B,SL-8 R/B,992.1
8688,1976-014A,COSMOS 803,389.7
8799,1976-032A,METEOR 1-24,860.1
8800,1976-032B,SL-3 R/B,864.3
8845,1976-043A,METEOR 1-25,860.3
8846,1976-043B,SL-3 R/B,869.9
8923,1976-061A,COSMOS 836,785.3
8924,1976-061B,SL-8 R/B,770.3
9022,1976-069A,COSMOS 841,776.2
9023,1976-069B,SL-8 R/B,761.7
9044,1976-070B,SL-8 R/B,983.7
9062,1976-078B,SL-8 R/B,975.6
9415,1976-091A,OPS 5721,806.3
9443,1976-098A,COSMOS 858,781.9
9444,1976-098B,SL-8 R/B,767.8
9481,1976-102A,METEOR 1-26,865.4
9482,1976-102B,SL-3 R/B,873.4
9510,1976-108B,SL-8 R/B,978.6
9638,1976-128B,SL-8 R/B,976.2
9661,1977-002A,METEOR 2-2,886.4
9662,1977-002B,SL-3 R/B,896.4
9848,1977-013B,SL-8 R/B,986.2
9903,1977-024A,METEOR 1-27,870.9
9904,1977-024B,SL-3 R/B,875.7
10020,1977-039B,SL-8 R/B,976.7
10033,1977-044A,OPS 5644,794.2
10095,1977-055A,COSMOS 921,584.5
10096,1977-055B,SL-14 R/B,598.7
10114,1977-057B,SL-3 R/B,435.6
10120,1977-059A,COSMOS 923,789.3
10121,1977-059B,SL-8 R/B,774.3
10358,1977-088A,COSMOS 952,957.8
10514,1977-117A,METEOR 2-3,862.3
10515,1977-117B,SL-3 R/B,869.6
