NORAD_ID,COSPAR_ID,NAME,mean_alt_km
67712,1260942,STARLINK-36705,459.0
67714,1260945,STARLINK-36702,462.6
67715,1260940,STARLINK-36718,464.6
67713,1260938,STARLINK-36708,467.4
67716,1260943,STARLINK-36715,463.0
67711,1260944,STARLINK-36687,462.8
67807,1260957,STARLINK-36382,460.1
67806,1260956,STARLINK-36389,462.4
67809,1260939,STARLINK-36795,460.4
67805,1260935,STARLINK-36782,457.4
67800,1260949,STARLINK-36354,464.2
67803,1260939,STARLINK-36768,459.4
67802,1260939,STARLINK-36739,467.6
67804,1260944,STARLINK-36792,461.4
67808,1260942,STARLINK-36811,461.2
67801,1260941,STARLINK-36773,471.8
68807,1260940,STARLINK-37366,325.8
68808,1260939,STARLINK-37446,327.7
68804,1260938,STARLINK-37473,326.9
68805,1260945,STARLINK-36832,332.4
68806,1260935,STARLINK-37370,333.9
68802,1260944,STARLINK-37471,337.0
68810,1260935,STARLINK-37447,329.9
68809,1260941,STARLINK-37405,333.0
68811,1260944,STARLINK-37442,331.8
68803,1260936,STARLINK-37460,339.7
68686,1260945,STARLINK-37213,400.0
65402,1261009,STARLINK-34848,546.8
65401,1261006,STARLINK-34909,548.1
65400,1261009,STARLINK-34876,543.6
