t,d,lonP,lonS
2024-03-01 00:00:00+00:00,168.99559918212253,173.28696793697554,173.05890281116854
2024-03-01 06:00:00+00:00,240.7195669615796,173.38828581837174,173.06192803680563
2024-03-01 12:00:00+00:00,232.2987797770466,173.3325060746281,173.01815509806966
2024-03-01 18:00:00+00:00,161.1214657599757,173.22900154721845,173.01110315529138
2024-03-02 00:00:00+00:00,172.0982049523429,173.2792848674389,173.04701507893844
2024-03-02 06:00:00+00:00,243.33220404261274,173.3803233348521,173.05037520188262
2024-03-02 12:00:00+00:00,233.71936557060053,173.32420594690666,173.00794643423922
2024-03-02 18:00:00+00:00,162.73218729963696,173.22164277181867,173.00149891494902
2024-03-03 00:00:00+00:00,175.02886134114263,173.27292673566728,173.03668257573622
2024-03-03 06:00:00+00:00,246.1526360981072,173.37431112555396,173.04049446885313
2024-03-03 12:00:00+00:00,235.272788611446,173.31727716932198,172.99892797319177
2024-03-03 18:00:00+00:00,164.405493449752,173.21565904032803,172.99318774234837
2024-03-04 00:00:00+00:00,177.98910845813668,173.26826374697657,173.02800744511376
2024-03-04 06:00:00+00:00,248.85497870574264,173.3687717995499,173.03124409339864
2024-03-04 12:00:00+00:00,236.84442183993505,173.3112372290683,172.99077364967997
2024-03-04 18:00:00+00:00,166.27622437219932,173.21087655760368,172.9858057212042
2024-03-05 00:00:00+00:00,181.12487619413253,173.2647304592424,173.02022215167977
2024-03-05 06:00:00+00:00,251.55492719359623,173.36460994917718,173.02337784812033
2024-03-05 12:00:00+00:00,238.30304035831068,173.3059262216566,172.98350354032664
2024-03-05 18:00:00+00:00,167.81959652327254,173.20640658915158,172.97918371508467
2024-03-06 00:00:00+00:00,183.99717897751458,173.26189968855613,173.0134988291942
2024-03-06 06:00:00+00:00,254.29347120811843,173.36103581595523,173.01605004685018
2024-03-06 12:00:00+00:00,239.8326328631722,173.30077065205398,172.97629107257706
2024-03-06 18:00:00+00:00,169.78809141008796,173.20251184444822,172.9725609875831
2024-03-07 00:00:00+00:00,187.27413552127902,173.25962879393302,173.00678118891574
2024-03-07 06:00:00+00:00,257.0787820900064,173.35774329548912,173.00894033873078
2024-03-07 12:00:00+00:00,241.40588676917247,173.29558543216945,172.96898897853407
2024-03-07 18:00:00+00:00,171.5218994618414,173.19813575627416,172.96577869812097
2024-03-08 00:00:00+00:00,190.2928868514112,173.25702059660557,173.00007857989226
2024-03-08 06:00:00+00:00,259.75610428451307,173.35434944568772,173.00187870624933
2024-03-08 12:00:00+00:00,242.86992102924137,173.29010585045023,172.9615421140221
2024-03-08 18:00:00+00:00,173.24459311154695,173.1935780777489,172.95883082668172
2024-03-09 00:00:00+00:00,193.3223051088823,173.2542860311209,172.9932350603844
2024-03-09 06:00:00+00:00,262.55160882033726,173.3506108778259,172.99431275176636
2024-03-09 12:00:00+00:00,244.47143612313562,173.28426191057986,172.95354214055828
2024-03-09 18:00:00+00:00,175.10261318904568,173.18861402192192,172.95129503287586
2024-03-10 00:00:00+00:00,196.60188516305928,173.2515226365088,172.98601450099738
2024-03-10 06:00:00+00:00,265.3664086859622,173.34661111769498,172.9864599241539
2024-03-10 12:00:00+00:00,246.10029162858987,173.2782777208986,172.94536253401242
2024-03-10 18:00:00+00:00,177.0436196951634,173.1838226858477,172.94381926733524
2024-03-11 00:00:00+00:00,199.52125934373225,173.24867722905935,172.97921036336106
2024-03-11 06:00:00+00:00,267.9814107967794,173.34264388499383,172.97891340293938
2024-03-11 12:00:00+00:00,247.55303597941403,173.27250574675725,172.9376339232307
2024-03-11 18:00:00+00:00,178.95559214268593,173.1794137915864,172.9367681909107
