norad,name,alt_km,n_win,n_pts,span_d,sigma_resid_km,sigma_diff_km
7646,Starlette,955.5619794131453,2,251,127.59598093,0.0002086135687181013,4.449424656078835e-05
22824,Stella,800.4884186225318,56,9041,4964.77874043,0.00016758436571435593,7.02998990163555e-05
16908,Ajisai,1487.5144507133746,2,347,127.76629000000104,0.00017695864052475372,4.858976839346955e-05
38077,LARES,1443.937836398938,59,11407,5288.091926190001,0.0004621915979156256,8.27701976578863e-05
8820,LAGEOS-1,5893.04941106334,2,154,126.93054488999977,0.000400960738710819,4.028586002152736e-05
22195,LAGEOS-2,5783.749656406261,2,56,139.29432396000183,0.00034002097977972877,5.9092128159689224e-05
19751,Etalon-1,19125.578467527306,2,140,126.00327132000139,0.0061964535345112376,0.0009198488002791011
20026,Etalon-2,19121.70491721082,2,134,127.10454181000038,0.007700109773112853,0.0010030903448152294
