epoch,dr_km,radial_km,in_track_km,cross_track_km,tle_epoch_used,sgp4_error,dr_diff_km
2026-03-26 22:55:23+00:00,0.4749848639452674,0.15761616390853797,-0.30408260882065474,0.32909198237679044,2026-03-31 21:20:20.404320+00:00,0,
2026-03-26 22:56:23+00:00,0.4778972249236853,0.16445802748951635,-0.3234357949652594,0.3110122205303316,2026-03-31 21:20:20.404320+00:00,0,0.002912360978417905
2026-03-26 22:57:23+00:00,0.48231749549648606,0.17068868993195993,-0.34383944034320335,0.2920102341627545,2026-03-31 21:20:20.404320+00:00,0,0.004420270572800755
2026-03-26 22:58:23+00:00,0.48841434322080984,0.1763030349215577,-0.3652346352389452,0.2721570718595011,2026-03-31 21:20:20.404320+00:00,0,0.006096847724323784
2026-03-26 22:59:23+00:00,0.4963260552061597,0.18130673035867462,-0.3875629885584667,0.2515200836966792,2026-03-31 21:20:20.404320+00:00,0,0.007911711985349845
2026-03-26 23:00:23+00:00,0.5061466958784336,0.1857233452689423,-0.41074923681272413,0.23016598625455814,2026-03-31 21:20:20.404320+00:00,0,0.00982064067227395
2026-03-26 23:01:23+00:00,0.5179160452017225,0.18957993133182818,-0.43470270023170937,0.20815869408908347,2026-03-31 21:20:20.404320+00:00,0,0.01176934932328888
2026-03-26 23:02:23+00:00,0.5316127414958085,0.192891322320002,-0.4593145017805607,0.18556732780423835,2026-03-31 21:20:20.404320+00:00,0,0.013696696294085986
2026-03-26 23:03:23+00:00,0.5471730151376936,0.19565687495947656,-0.4844798725041675,0.16246830126000522,2026-03-31 21:20:20.404320+00:00,0,0.015560273641885058
2026-03-26 23:04:23+00:00,0.5644993421410537,0.1978680766494367,-0.5101019251183312,0.1389379628154507,2026-03-31 21:20:20.404320+00:00,0,0.01732632700336012
2026-03-26 23:05:23+00:00,0.5834695643266132,0.19952268427921055,-0.5360895491226612,0.1150453226992226,2026-03-31 21:20:20.404320+00:00,0,0.01897022218555955
2026-03-26 23:06:23+00:00,0.6039309324305199,0.20062016120106788,-0.5623436055589168,0.09085037893730595,2026-03-31 21:20:20.404320+00:00,0,0.02046136810390664
2026-03-26 23:07:23+00:00,0.6257160109971156,0.20114697609069176,-0.5887698884288288,0.0664111354158138,2026-03-31 21:20:20.404320+00:00,0,0.021785078566595728
2026-03-26 23:08:23+00:00,0.6486618806218247,0.20109132965571666,-0.6152873341986022,0.041785271136083976,2026-03-31 21:20:20.404320+00:00,0,0.022945869624709125
2026-03-26 23:09:23+00:00,0.672619714265686,0.2004546801181379,-0.6418296357345654,0.01702703527990519,2026-03-31 21:20:20.404320+00:00,0,0.02395783364386128
2026-03-26 23:10:23+00:00,0.6974382412547807,0.19925533123995826,-0.6683235104790771,-0.007816564330899195,2026-03-31 21:20:20.404320+00:00,0,0.024818526989094702
2026-03-26 23:11:23+00:00,0.7229661163374098,0.1975259960254194,-0.6946897435832069,-0.03270544949180929,2026-03-31 21:20:20.404320+00:00,0,0.025527875082629103
2026-03-26 23:12:23+00:00,0.7490426071206792,0.19530301779170145,-0.7208359300374964,-0.05759444843538504,2026-03-31 21:20:20.404320+00:00,0,0.026076490783269346
2026-03-26 23:13:23+00:00,0.775500748066487,0.1926228012308699,-0.7466607728029463,-0.08243516879925028,2026-03-31 21:20:20.404320+00:00,0,0.026458140945807784
2026-03-26 23:14:23+00:00,0.802168893336961,0.18951720296534738,-0.7720575270126858,-0.1071696701529488,2026-03-31 21:20:20.404320+00:00,0,0.02666814527047401
2026-03-26 23:15:23+00:00,0.8288847651835152,0.18601415231017498,-0.7969290046011606,-0.13173021946030977,2026-03-31 21:20:20.404320+00:00,0,0.026715871846554218
2026-03-26 23:16:23+00:00,0.8554947526648701,0.1821377937917062,-0.8211861180004115,-0.15604632489498516,2026-03-31 21:20:20.404320+00:00,0,0.026609987481354902
2026-03-26 23:17:23+00:00,0.8818526064505925,0.17791959796527695,-0.8447440381674078,-0.18004484481428093,2026-03-31 21:20:20.404320+00:00,0,0.026357853785722418
2026-03-26 23:18:23+00:00,0.9078205136648216,0.1733846260376838,-0.8675245160915884,-0.20365920176728694,2026-03-31 21:20:20.404320+00:00,0,0.025967907214229147
2026-03-26 23:19:23+00:00,0.9332700015229217,0.16856252730651952,-0.8894546358195532,-0.2268259706244837,2026-03-31 21:20:20.404320+00:00,0,0.025449487858100084
2026-03-26 23:20:23+00:00,0.9580697593650677,0.1634816632496578,-0.9104567412066432,-0.2494793217530139,2026-03-31 21:20:20.404320+00:00,0,0.024799757842145942
2026-03-26 23:21:23+00:00,0.9820930949483566,0.15816361488378158,-0.9304586383986361,-0.271547123537505,2026-03-31 21:20:20.404320+00:00,0,0.02402333558328895
2026-03-26 23:22:23+00:00,1.0052145662788887,0.15262237018913966,-0.9493910070347237,-0.2929495726890498,2026-03-31 21:20:20.404320+00:00,0,0.023121471330532106
2026-03-26 23:23:23+00:00,1.0273092633594858,0.1468591124359721,-0.9671872942735257,-0.31360079954391745,2026-03-31 21:20:20.404320+00:00,0,0.02209469708059708
2026-03-26 23:24:23+00:00,1.048256487269966,0.14085067719735014,-0.9837882322863688,-0.3334118531958303,2026-03-31 21:20:20.404320+00:00,0,0.020947223910480206
2026-03-26 23:25:23+00:00,1.0679581121357429,0.1345641703077862,-0.99915746789002,-0.3522944332593424,2026-03-31 21:20:20.404320+00:00,0,0.019701624865776868
